Detailed Country RD&D Budgets
COUNTRY,PRODUCT,FLOW,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Belgium,Total RD&D in Million USD (2010 prices and exch. rates),GROUP 1: ENERGY EFFICIENCY,17.303,19.379,14.636,19.772,23.413,14.356,16.995,5.728,6.229,1.437,..,11.430,4.963,10.624,14.448,13.079,16.942,14.967,21.894,6.649,..,..,..,..,..,..,..,32.037,..,..,..
Belgium,Total RD&D in Million USD (2010 prices and exch. rates),11 Industry,7.381,8.482,6.795,12.832,15.666,9.669,8.419,3.385,3.114,0.445,..,5.268,0.775,5.065,3.146,4.262,8.721,6.322,8.403,1.347,..,..,..,..,..,..,..,1.354,..,..,..
Belgium,Total RD&D in Million USD (2010 prices and exch. rates),111 Industrial techniques and processes,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,Total RD&D in Million USD (2010 prices and exch. rates),112 Industrial equipment and systems,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,Total RD&D in Million USD (2010 prices and exch. rates),113 Other industry,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,Total RD&D in Million USD (2010 prices and exch. rates),119 Unallocated industry,7.381,8.482,6.795,12.832,15.666,9.669,8.419,3.385,3.114,0.445,..,5.268,0.775,5.065,3.146,4.262,8.721,6.322,8.403,1.347,..,..,..,..,..,..,..,1.354,..,..,..
Belgium,Total RD&D in Million USD (2010 prices and exch. rates),"12 Res. and comm. buildings, appliances and equipment""",2.530,4.419,3.970,3.728,4.657,4.110,3.918,2.245,3.011,0.593,..,1.142,0.607,3.016,1.193,3.036,2.499,2.094,4.240,1.420,..,..,..,..,..,..,..,8.792,..,..,..
Belgium,Total RD&D in Million USD (2010 prices and exch. rates),121 Building design and envelope,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,Total RD&D in Million USD (2010 prices and exch. rates),1211 Building envelope technologies,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,Total RD&D in Million USD (2010 prices and exch. rates),1212 Building design,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,Total RD&D in Million USD (2010 prices and exch. rates),1219 Unallocated building design and envelope,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,Total RD&D in Million USD (2010 prices and exch. rates),122 Building operation and efficient building equipment,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,Total RD&D in Million USD (2010 prices and exch. rates),1221 Building management systems and eff. ICT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,Total RD&D in Million USD (2010 prices and exch. rates),1222 Lighting technologies and control systems,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,Total RD&D in Million USD (2010 prices and exch. rates),"1223 Heating, cooling and ventilation technologies""",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,Total RD&D in Million USD (2010 prices and exch. rates),1224 Other building ops. and eff. building equipment,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,Total RD&D in Million USD (2010 prices and exch. rates),1229 Unallocated building operations and equipment,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,Total RD&D in Million USD (2010 prices and exch. rates),123 Appliances and other res/comm,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,Total RD&D in Million USD (2010 prices and exch. rates),1231 Appliances,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,Total RD&D in Million USD (2010 prices and exch. rates),1232 Batteries for portable devices,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,Total RD&D in Million USD (2010 prices and exch. rates),1233 Other residential/commercial,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,Total RD&D in Million USD (2010 prices and exch. rates),1239 Unallocated appliances and other res/comm,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,Total RD&D in Million USD (2010 prices and exch. rates),"129 Unalloc. res/comm bldings, appliances and equipment",2.530,4.419,3.970,3.728,4.657,4.110,3.918,2.245,3.011,0.593,..,1.142,0.607,3.016,1.193,3.036,2.499,2.094,4.240,1.420,..,..,..,..,..,..,..,8.792,..,..,..
Belgium,Total RD&D in Million USD (2010 prices and exch. rates),13 Transport,1.409,2.098,0.930,0.881,0.086,..,0.393,0.098,..,..,..,5.021,3.193,2.302,9.347,5.248,4.621,5.815,8.122,3.784,..,..,..,..,..,..,..,7.650,..,..,..
Belgium,Total RD&D in Million USD (2010 prices and exch. rates),131 On-road vehicles,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,Total RD&D in Million USD (2010 prices and exch. rates),1311 Vehicle batteries/storage technologies,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,Total RD&D in Million USD (2010 prices and exch. rates),"1312 Advd power elecs, motors, EV/HEV/FCV sys",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,Total RD&D in Million USD (2010 prices and exch. rates),1313 Advanced combustion engines,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,Total RD&D in Million USD (2010 prices and exch. rates),1314 Electric vehicle infrastructure,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,Total RD&D in Million USD (2010 prices and exch. rates),1315 Fuel for on-road vehicles (excl. hydrogen),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,Total RD&D in Million USD (2010 prices and exch. rates),1316 Materials for on-road vehicles,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,Total RD&D in Million USD (2010 prices and exch. rates),1317 Other on-road transport,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,Total RD&D in Million USD (2010 prices and exch. rates),1319 Unallocated on-road vehicles,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,Total RD&D in Million USD (2010 prices and exch. rates),132 Off-road transport and transport systems,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,Total RD&D in Million USD (2010 prices and exch. rates),133 Other transport,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,Total RD&D in Million USD (2010 prices and exch. rates),139 Unallocated transport,1.409,2.098,0.930,0.881,0.086,..,0.393,0.098,..,..,..,5.021,3.193,2.302,9.347,5.248,4.621,5.815,8.122,3.784,..,..,..,..,..,..,..,7.650,..,..,..
Belgium,Total RD&D in Million USD (2010 prices and exch. rates),14 Other energy efficiency,5.984,4.383,2.942,2.328,3.003,0.576,4.264,..,0.105,0.396,..,..,0.389,0.238,0.759,0.535,1.098,0.736,1.130,0.097,..,..,..,..,..,..,..,14.241,..,..,..
Belgium,Total RD&D in Million USD (2010 prices and exch. rates),141 Waste heat recovery and utilisation,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,Total RD&D in Million USD (2010 prices and exch. rates),142 Communities,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,Total RD&D in Million USD (2010 prices and exch. rates),143 Agriculture and forestry,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,Total RD&D in Million USD (2010 prices and exch. rates),144 Heat pumps and chillers,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,Total RD&D in Million USD (2010 prices and exch. rates),145 Other energy efficiency,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,Total RD&D in Million USD (2010 prices and exch. rates),149 Unallocated other energy efficiency,5.984,4.383,2.942,2.328,3.003,0.576,4.264,..,0.105,0.396,..,..,0.389,0.238,0.759,0.535,1.098,0.736,1.130,0.097,..,..,..,..,..,..,..,14.241,..,..,..
Belgium,Total RD&D in Million USD (2010 prices and exch. rates),19 Unallocated energy efficiency,..,..,..,0.003,..,..,..,..,..,0.003,..,..,..,0.001,0.001,..,0.001,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,Total RD&D in Million USD (2010 prices and exch. rates),GROUP 2: FOSSIL FUELS,19.547,27.840,32.221,36.842,19.535,19.366,25.162,11.507,7.475,7.332,..,1.502,2.015,1.797,2.546,2.101,2.542,3.518,0.711,1.347,..,..,..,..,..,..,..,2.613,..,..,..
