Detailed Country RD&D Budgets
COUNTRY,PRODUCT,FLOW,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Finland,Total RD&D in Million USD (2010 prices and exch. rates),GROUP 1: ENERGY EFFICIENCY,..,..,..,..,..,..,..,..,..,..,17.351,20.820,21.294,22.299,24.682,33.984,32.914,54.837,66.282,54.525,41.148,36.563,38.723,17.853,41.738,34.852,33.812,92.082,97.795,124.638,153.874
Finland,Total RD&D in Million USD (2010 prices and exch. rates),11 Industry,..,..,..,..,..,..,..,..,..,..,8.297,10.164,10.468,10.599,11.105,21.029,19.215,27.368,32.091,25.042,16.632,17.347,23.060,8.070,23.984,20.575,15.559,51.283,42.760,54.568,78.787
Finland,Total RD&D in Million USD (2010 prices and exch. rates),111 Industrial techniques and processes,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Finland,Total RD&D in Million USD (2010 prices and exch. rates),112 Industrial equipment and systems,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Finland,Total RD&D in Million USD (2010 prices and exch. rates),113 Other industry,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Finland,Total RD&D in Million USD (2010 prices and exch. rates),119 Unallocated industry,..,..,..,..,..,..,..,..,..,..,8.297,10.164,10.468,10.599,11.105,21.029,19.215,27.368,32.091,25.042,16.632,17.347,23.060,8.070,23.984,20.575,15.559,51.283,42.760,54.568,78.787
Finland,Total RD&D in Million USD (2010 prices and exch. rates),"12 Res. and comm. buildings, appliances and equipment""",..,..,..,..,..,..,..,..,..,..,7.392,8.722,8.611,8.211,8.289,8.370,9.368,19.065,22.204,18.571,8.833,10.456,3.453,5.689,6.294,4.494,9.347,18.233,24.344,34.275,38.118
Finland,Total RD&D in Million USD (2010 prices and exch. rates),121 Building design and envelope,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Finland,Total RD&D in Million USD (2010 prices and exch. rates),1211 Building envelope technologies,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Finland,Total RD&D in Million USD (2010 prices and exch. rates),1212 Building design,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
