Detailed Country RD&D Budgets
COUNTRY,PRODUCT,FLOW,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Greece,Total RD&D in Million USD (2010 prices and exch. rates),GROUP 1: ENERGY EFFICIENCY,0.421,0.392,2.571,1.944,0.268,0.889,..,3.306,2.972,2.571,5.457,2.138,0.404,0.379,2.260,2.662,3.437,8.617,..,..,0.874,0.915,2.450,..,..,3.046,2.513,..,..,..,0.809
Greece,Total RD&D in Million USD (2010 prices and exch. rates),11 Industry,0.421,0.392,..,..,..,0.801,..,0.042,0.646,0.633,4.910,1.233,0.093,0.090,0.313,0.592,0.958,4.522,..,..,..,..,..,..,..,..,..,..,..,..,..
Greece,Total RD&D in Million USD (2010 prices and exch. rates),111 Industrial techniques and processes,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Greece,Total RD&D in Million USD (2010 prices and exch. rates),112 Industrial equipment and systems,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Greece,Total RD&D in Million USD (2010 prices and exch. rates),113 Other industry,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Greece,Total RD&D in Million USD (2010 prices and exch. rates),119 Unallocated industry,0.421,0.392,..,..,..,0.801,..,0.042,0.646,0.633,4.910,1.233,0.093,0.090,0.313,0.592,0.958,4.522,..,..,..,..,..,..,..,..,..,..,..,..,..
Greece,Total RD&D in Million USD (2010 prices and exch. rates),"12 Res. and comm. buildings, appliances and equipment""",..,..,2.571,1.944,0.244,..,..,3.220,1.935,1.155,0.468,0.799,..,..,0.817,0.682,0.891,2.189,..,..,..,..,..,..,..,..,..,..,..,..,..
Greece,Total RD&D in Million USD (2010 prices and exch. rates),121 Building design and envelope,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Greece,Total RD&D in Million USD (2010 prices and exch. rates),1211 Building envelope technologies,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Greece,Total RD&D in Million USD (2010 prices and exch. rates),1212 Building design,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Greece,Total RD&D in Million USD (2010 prices and exch. rates),1219 Unallocated building design and envelope,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Greece,Total RD&D in Million USD (2010 prices and exch. rates),122 Building operation and efficient building equipment,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Greece,Total RD&D in Million USD (2010 prices and exch. rates),1221 Building management systems and eff. ICT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Greece,Total RD&D in Million USD (2010 prices and exch. rates),1222 Lighting technologies and control systems,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Greece,Total RD&D in Million USD (2010 prices and exch. rates),"1223 Heating, cooling and ventilation technologies""",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Greece,Total RD&D in Million USD (2010 prices and exch. rates),1224 Other building ops. and eff. building equipment,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Greece,Total RD&D in Million USD (2010 prices and exch. rates),1229 Unallocated building operations and equipment,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Greece,Total RD&D in Million USD (2010 prices and exch. rates),123 Appliances and other res/comm,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Greece,Total RD&D in Million USD (2010 prices and exch. rates),1231 Appliances,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Greece,Total RD&D in Million USD (2010 prices and exch. rates),1232 Batteries for portable devices,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Greece,Total RD&D in Million USD (2010 prices and exch. rates),1233 Other residential/commercial,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Greece,Total RD&D in Million USD (2010 prices and exch. rates),1239 Unallocated appliances and other res/comm,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Greece,Total RD&D in Million USD (2010 prices and exch. rates),"129 Unalloc. res/comm bldings, appliances and equipment",..,..,2.571,1.944,0.244,..,..,3.220,1.935,1.155,0.468,0.799,..,..,0.817,0.682,0.891,2.189,..,..,..,..,..,..,..,..,..,..,..,..,..
Greece,Total RD&D in Million USD (2010 prices and exch. rates),13 Transport,..,..,..,..,..,..,..,0.042,0.159,0.155,..,..,..,..,0.081,0.125,0.053,0.024,..,..,..,..,..,..,..,..,..,..,..,..,..
Greece,Total RD&D in Million USD (2010 prices and exch. rates),131 On-road vehicles,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Greece,Total RD&D in Million USD (2010 prices and exch. rates),1311 Vehicle batteries/storage technologies,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Greece,Total RD&D in Million USD (2010 prices and exch. rates),"1312 Advd power elecs, motors, EV/HEV/FCV sys",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Greece,Total RD&D in Million USD (2010 prices and exch. rates),1313 Advanced combustion engines,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Greece,Total RD&D in Million USD (2010 prices and exch. rates),1314 Electric vehicle infrastructure,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Greece,Total RD&D in Million USD (2010 prices and exch. rates),1315 Fuel for on-road vehicles (excl. hydrogen),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Greece,Total RD&D in Million USD (2010 prices and exch. rates),1316 Materials for on-road vehicles,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Greece,Total RD&D in Million USD (2010 prices and exch. rates),1317 Other on-road transport,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Greece,Total RD&D in Million USD (2010 prices and exch. rates),1319 Unallocated on-road vehicles,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Greece,Total RD&D in Million USD (2010 prices and exch. rates),132 Off-road transport and transport systems,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Greece,Total RD&D in Million USD (2010 prices and exch. rates),133 Other transport,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Greece,Total RD&D in Million USD (2010 prices and exch. rates),139 Unallocated transport,..,..,..,..,..,..,..,0.042,0.159,0.155,..,..,..,..,0.081,0.125,0.053,0.024,..,..,..,..,..,..,..,..,..,..,..,..,..
Greece,Total RD&D in Million USD (2010 prices and exch. rates),14 Other energy efficiency,..,..,..,..,0.034,0.087,..,..,0.232,0.623,0.079,0.107,0.311,0.289,1.049,1.265,1.534,1.882,..,..,..,..,..,..,..,..,..,..,..,..,..
Greece,Total RD&D in Million USD (2010 prices and exch. rates),141 Waste heat recovery and utilisation,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Greece,Total RD&D in Million USD (2010 prices and exch. rates),142 Communities,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Greece,Total RD&D in Million USD (2010 prices and exch. rates),143 Agriculture and forestry,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Greece,Total RD&D in Million USD (2010 prices and exch. rates),144 Heat pumps and chillers,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Greece,Total RD&D in Million USD (2010 prices and exch. rates),145 Other energy efficiency,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Greece,Total RD&D in Million USD (2010 prices and exch. rates),149 Unallocated other energy efficiency,..,..,..,..,0.034,0.087,..,..,0.232,0.623,0.079,0.107,0.311,0.289,1.049,1.265,1.534,1.882,..,..,..,..,..,..,..,..,..,..,..,..,..
Greece,Total RD&D in Million USD (2010 prices and exch. rates),19 Unallocated energy efficiency,..,..,..,..,..,..,..,..,..,0.005,..,..,..,..,..,..,..,..,..,..,0.874,0.915,2.450,..,..,3.046,2.513,..,..,..,0.809
Greece,Total RD&D in Million USD (2010 prices and exch. rates),GROUP 2: FOSSIL FUELS,21.562,24.902,4.309,4.513,8.081,9.293,0.475,0.563,4.309,3.714,3.474,2.579,1.159,0.766,1.718,3.090,3.172,6.583,..,..,0.770,0.805,0.857,..,..,0.914,1.625,..,..,..,0.009
Greece,Total RD&D in Million USD (2010 prices and exch. rates),21 Oil and gas,5.023,9.791,..,..,0.034,0.058,..,0.128,0.177,0.171,0.040,0.033,0.103,0.098,1.037,1.834,1.987,2.985,..,..,..,..,..,..,..,..,..,..,..,..,..
Greece,Total RD&D in Million USD (2010 prices and exch. rates),211 Enhanced oil and gas production,0.158,0.131,..,..,..,..,..,0.128,0.177,0.171,0.040,0.033,..,..,0.295,0.253,0.240,2.261,..,..,..,..,..,..,..,..,..,..,..,..,..
Greece,Total RD&D in Million USD (2010 prices and exch. rates),"212 Refining, transpt, storage of oil and gas",..,0.065,..,..,0.034,0.058,..,..,..,..,..,..,..,..,0.199,0.232,0.201,0.219,..,..,..,..,..,..,..,..,..,..,..,..,..
Greece,Total RD&D in Million USD (2010 prices and exch. rates),213 Non-conventional oil and gas production,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.023,0.019,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Greece,Total RD&D in Million USD (2010 prices and exch. rates),214 Oil and gas combustion,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Greece,Total RD&D in Million USD (2010 prices and exch. rates),215 Oil and gas conversion,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
