Detailed Country RD&D Budgets
COUNTRY,PRODUCT,FLOW,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Ireland,Total RD&D in Million USD (2010 prices and exch. rates),GROUP 1: ENERGY EFFICIENCY,2.601,6.830,6.139,4.911,2.049,2.376,1.117,0.756,3.168,..,0.364,..,..,..,..,..,..,..,..,..,..,..,3.591,6.441,7.179,5.554,15.366,32.011,32.094,30.425,..
Ireland,Total RD&D in Million USD (2010 prices and exch. rates),11 Industry,0.223,1.792,0.122,0.073,0.069,1.355,0.185,0.060,1.380,..,0.083,..,..,..,..,..,..,..,..,..,..,..,0.514,0.789,0.993,0.118,0.199,2.403,0.791,0.903,..
Ireland,Total RD&D in Million USD (2010 prices and exch. rates),111 Industrial techniques and processes,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Ireland,Total RD&D in Million USD (2010 prices and exch. rates),112 Industrial equipment and systems,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Ireland,Total RD&D in Million USD (2010 prices and exch. rates),113 Other industry,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Ireland,Total RD&D in Million USD (2010 prices and exch. rates),119 Unallocated industry,0.223,1.792,0.122,0.073,0.069,1.355,0.185,0.060,1.380,..,0.083,..,..,..,..,..,..,..,..,..,..,..,0.514,0.789,0.993,0.118,0.199,2.403,0.791,0.903,..
Ireland,Total RD&D in Million USD (2010 prices and exch. rates),"12 Res. and comm. buildings, appliances and equipment""",2.322,3.722,2.742,1.885,0.452,0.694,0.774,..,1.026,..,0.281,..,..,..,..,..,..,..,..,..,..,..,3.008,5.642,6.185,5.326,14.491,26.130,29.393,21.506,..
Ireland,Total RD&D in Million USD (2010 prices and exch. rates),121 Building design and envelope,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Ireland,Total RD&D in Million USD (2010 prices and exch. rates),1211 Building envelope technologies,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Ireland,Total RD&D in Million USD (2010 prices and exch. rates),1212 Building design,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
