Detailed Country RD&D Budgets
COUNTRY,PRODUCT,FLOW,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Luxembourg,Total RD&D in Million USD (2010 prices and exch. rates),GROUP 1: ENERGY EFFICIENCY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Luxembourg,Total RD&D in Million USD (2010 prices and exch. rates),11 Industry,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Luxembourg,Total RD&D in Million USD (2010 prices and exch. rates),111 Industrial techniques and processes,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Luxembourg,Total RD&D in Million USD (2010 prices and exch. rates),112 Industrial equipment and systems,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Luxembourg,Total RD&D in Million USD (2010 prices and exch. rates),113 Other industry,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Luxembourg,Total RD&D in Million USD (2010 prices and exch. rates),119 Unallocated industry,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Luxembourg,Total RD&D in Million USD (2010 prices and exch. rates),"12 Res. and comm. buildings, appliances and equipment""",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Luxembourg,Total RD&D in Million USD (2010 prices and exch. rates),121 Building design and envelope,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Luxembourg,Total RD&D in Million USD (2010 prices and exch. rates),1211 Building envelope technologies,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Luxembourg,Total RD&D in Million USD (2010 prices and exch. rates),1212 Building design,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Luxembourg,Total RD&D in Million USD (2010 prices and exch. rates),1219 Unallocated building design and envelope,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Luxembourg,Total RD&D in Million USD (2010 prices and exch. rates),122 Building operation and efficient building equipment,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Luxembourg,Total RD&D in Million USD (2010 prices and exch. rates),1221 Building management systems and eff. ICT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Luxembourg,Total RD&D in Million USD (2010 prices and exch. rates),1222 Lighting technologies and control systems,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Luxembourg,Total RD&D in Million USD (2010 prices and exch. rates),"1223 Heating, cooling and ventilation technologies""",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Luxembourg,Total RD&D in Million USD (2010 prices and exch. rates),1224 Other building ops. and eff. building equipment,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Luxembourg,Total RD&D in Million USD (2010 prices and exch. rates),1229 Unallocated building operations and equipment,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Luxembourg,Total RD&D in Million USD (2010 prices and exch. rates),123 Appliances and other res/comm,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Luxembourg,Total RD&D in Million USD (2010 prices and exch. rates),1231 Appliances,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Luxembourg,Total RD&D in Million USD (2010 prices and exch. rates),1232 Batteries for portable devices,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Luxembourg,Total RD&D in Million USD (2010 prices and exch. rates),1233 Other residential/commercial,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Luxembourg,Total RD&D in Million USD (2010 prices and exch. rates),1239 Unallocated appliances and other res/comm,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Luxembourg,Total RD&D in Million USD (2010 prices and exch. rates),"129 Unalloc. res/comm bldings, appliances and equipment",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Luxembourg,Total RD&D in Million USD (2010 prices and exch. rates),13 Transport,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Luxembourg,Total RD&D in Million USD (2010 prices and exch. rates),131 On-road vehicles,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Luxembourg,Total RD&D in Million USD (2010 prices and exch. rates),1311 Vehicle batteries/storage technologies,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Luxembourg,Total RD&D in Million USD (2010 prices and exch. rates),"1312 Advd power elecs, motors, EV/HEV/FCV sys",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Luxembourg,Total RD&D in Million USD (2010 prices and exch. rates),1313 Advanced combustion engines,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Luxembourg,Total RD&D in Million USD (2010 prices and exch. rates),1314 Electric vehicle infrastructure,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Luxembourg,Total RD&D in Million USD (2010 prices and exch. rates),1315 Fuel for on-road vehicles (excl. hydrogen),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Luxembourg,Total RD&D in Million USD (2010 prices and exch. rates),1316 Materials for on-road vehicles,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Luxembourg,Total RD&D in Million USD (2010 prices and exch. rates),1317 Other on-road transport,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Luxembourg,Total RD&D in Million USD (2010 prices and exch. rates),1319 Unallocated on-road vehicles,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Luxembourg,Total RD&D in Million USD (2010 prices and exch. rates),132 Off-road transport and transport systems,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Luxembourg,Total RD&D in Million USD (2010 prices and exch. rates),133 Other transport,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Luxembourg,Total RD&D in Million USD (2010 prices and exch. rates),139 Unallocated transport,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Luxembourg,Total RD&D in Million USD (2010 prices and exch. rates),14 Other energy efficiency,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Luxembourg,Total RD&D in Million USD (2010 prices and exch. rates),141 Waste heat recovery and utilisation,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Luxembourg,Total RD&D in Million USD (2010 prices and exch. rates),142 Communities,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Luxembourg,Total RD&D in Million USD (2010 prices and exch. rates),143 Agriculture and forestry,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Luxembourg,Total RD&D in Million USD (2010 prices and exch. rates),144 Heat pumps and chillers,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Luxembourg,Total RD&D in Million USD (2010 prices and exch. rates),145 Other energy efficiency,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Luxembourg,Total RD&D in Million USD (2010 prices and exch. rates),149 Unallocated other energy efficiency,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Luxembourg,Total RD&D in Million USD (2010 prices and exch. rates),19 Unallocated energy efficiency,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Luxembourg,Total RD&D in Million USD (2010 prices and exch. rates),GROUP 2: FOSSIL FUELS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Luxembourg,Total RD&D in Million USD (2010 prices and exch. rates),21 Oil and gas,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Luxembourg,Total RD&D in Million USD (2010 prices and exch. rates),211 Enhanced oil and gas production,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Luxembourg,Total RD&D in Million USD (2010 prices and exch. rates),"212 Refining, transpt, storage of oil and gas",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Luxembourg,Total RD&D in Million USD (2010 prices and exch. rates),213 Non-conventional oil and gas production,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Luxembourg,Total RD&D in Million USD (2010 prices and exch. rates),214 Oil and gas combustion,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Luxembourg,Total RD&D in Million USD (2010 prices and exch. rates),215 Oil and gas conversion,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Luxembourg,Total RD&D in Million USD (2010 prices and exch. rates),216 Other oil and gas,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Luxembourg,Total RD&D in Million USD (2010 prices and exch. rates),219 Unallocated oil and gas,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Luxembourg,Total RD&D in Million USD (2010 prices and exch. rates),22 Coal,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Luxembourg,Total RD&D in Million USD (2010 prices and exch. rates),"221 Coal production, preparation and transport",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Luxembourg,Total RD&D in Million USD (2010 prices and exch. rates),222 Coal combustion (incl. IGCC),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Luxembourg,Total RD&D in Million USD (2010 prices and exch. rates),223 Coal conversion (excl. IGCC),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Luxembourg,Total RD&D in Million USD (2010 prices and exch. rates),224 Other coal,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Luxembourg,Total RD&D in Million USD (2010 prices and exch. rates),229 Unallocated coal,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Luxembourg,Total RD&D in Million USD (2010 prices and exch. rates),23 CO2 capture and storage,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Luxembourg,Total RD&D in Million USD (2010 prices and exch. rates),231 CO2 capture/separation,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Luxembourg,Total RD&D in Million USD (2010 prices and exch. rates),232 CO2 transport,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Luxembourg,Total RD&D in Million USD (2010 prices and exch. rates),233 CO2 storage,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Luxembourg,Total RD&D in Million USD (2010 prices and exch. rates),239 Unallocated CO2 capture and storage,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Luxembourg,Total RD&D in Million USD (2010 prices and exch. rates),29 Unallocated fossil fuels,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
