Detailed Country RD&D Budgets
COUNTRY,PRODUCT,FLOW,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Netherlands,Total RD&D in Million USD (2010 prices and exch. rates),GROUP 1: ENERGY EFFICIENCY,53.311,54.838,43.890,60.007,53.514,78.380,73.151,74.408,67.776,71.845,92.074,89.270,70.072,100.751,77.646,82.257,94.454,97.791,97.581,98.513,63.453,88.277,63.845,43.710,..,51.045,57.131,82.262,58.466,115.777,..
Netherlands,Total RD&D in Million USD (2010 prices and exch. rates),11 Industry,13.042,12.902,16.330,23.003,19.514,9.979,17.901,13.343,13.073,14.522,21.780,21.117,37.425,58.430,48.497,49.021,62.033,58.498,54.860,43.250,28.964,37.580,23.456,23.195,..,16.397,31.787,26.687,20.295,42.273,..
Netherlands,Total RD&D in Million USD (2010 prices and exch. rates),111 Industrial techniques and processes,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Netherlands,Total RD&D in Million USD (2010 prices and exch. rates),112 Industrial equipment and systems,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Netherlands,Total RD&D in Million USD (2010 prices and exch. rates),113 Other industry,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Netherlands,Total RD&D in Million USD (2010 prices and exch. rates),119 Unallocated industry,13.042,12.902,16.330,23.003,19.514,9.979,17.901,13.343,13.073,14.522,21.780,21.117,37.425,58.430,48.497,49.021,62.033,58.498,54.860,43.250,28.964,37.580,23.456,23.195,..,16.397,31.787,26.687,20.295,42.273,..
Netherlands,Total RD&D in Million USD (2010 prices and exch. rates),"12 Res. and comm. buildings, appliances and equipment""",20.984,26.882,20.415,22.001,22.963,28.775,20.319,18.797,15.189,18.318,10.376,10.060,11.679,8.964,6.136,12.110,15.015,17.597,19.154,34.335,14.522,25.612,23.499,9.331,..,25.380,18.903,47.184,23.387,18.983,..
Netherlands,Total RD&D in Million USD (2010 prices and exch. rates),121 Building design and envelope,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Netherlands,Total RD&D in Million USD (2010 prices and exch. rates),1211 Building envelope technologies,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Netherlands,Total RD&D in Million USD (2010 prices and exch. rates),1212 Building design,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Netherlands,Total RD&D in Million USD (2010 prices and exch. rates),1219 Unallocated building design and envelope,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Netherlands,Total RD&D in Million USD (2010 prices and exch. rates),122 Building operation and efficient building equipment,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Netherlands,Total RD&D in Million USD (2010 prices and exch. rates),1221 Building management systems and eff. ICT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Netherlands,Total RD&D in Million USD (2010 prices and exch. rates),1222 Lighting technologies and control systems,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Netherlands,Total RD&D in Million USD (2010 prices and exch. rates),"1223 Heating, cooling and ventilation technologies""",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Netherlands,Total RD&D in Million USD (2010 prices and exch. rates),1224 Other building ops. and eff. building equipment,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Netherlands,Total RD&D in Million USD (2010 prices and exch. rates),1229 Unallocated building operations and equipment,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Netherlands,Total RD&D in Million USD (2010 prices and exch. rates),123 Appliances and other res/comm,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Netherlands,Total RD&D in Million USD (2010 prices and exch. rates),1231 Appliances,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Netherlands,Total RD&D in Million USD (2010 prices and exch. rates),1232 Batteries for portable devices,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Netherlands,Total RD&D in Million USD (2010 prices and exch. rates),1233 Other residential/commercial,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Netherlands,Total RD&D in Million USD (2010 prices and exch. rates),1239 Unallocated appliances and other res/comm,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Netherlands,Total RD&D in Million USD (2010 prices and exch. rates),"129 Unalloc. res/comm bldings, appliances and equipment",20.984,26.882,20.415,22.001,22.963,28.775,20.319,18.797,15.189,18.318,10.376,10.060,11.679,8.964,6.136,12.110,15.015,17.597,19.154,34.335,14.522,25.612,23.499,9.331,..,25.380,18.903,47.184,23.387,18.983,..
Netherlands,Total RD&D in Million USD (2010 prices and exch. rates),13 Transport,5.672,12.902,4.082,8.000,5.224,12.693,12.579,12.661,10.191,11.959,14.115,13.685,17.164,20.503,17.642,15.699,11.054,15.588,18.682,15.424,15.764,19.591,16.714,10.910,..,7.558,4.762,0.138,4.301,2.693,..
Netherlands,Total RD&D in Million USD (2010 prices and exch. rates),131 On-road vehicles,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Netherlands,Total RD&D in Million USD (2010 prices and exch. rates),1311 Vehicle batteries/storage technologies,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Netherlands,Total RD&D in Million USD (2010 prices and exch. rates),"1312 Advd power elecs, motors, EV/HEV/FCV sys",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Netherlands,Total RD&D in Million USD (2010 prices and exch. rates),1313 Advanced combustion engines,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Netherlands,Total RD&D in Million USD (2010 prices and exch. rates),1314 Electric vehicle infrastructure,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Netherlands,Total RD&D in Million USD (2010 prices and exch. rates),1315 Fuel for on-road vehicles (excl. hydrogen),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Netherlands,Total RD&D in Million USD (2010 prices and exch. rates),1316 Materials for on-road vehicles,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Netherlands,Total RD&D in Million USD (2010 prices and exch. rates),1317 Other on-road transport,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Netherlands,Total RD&D in Million USD (2010 prices and exch. rates),1319 Unallocated on-road vehicles,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Netherlands,Total RD&D in Million USD (2010 prices and exch. rates),132 Off-road transport and transport systems,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Netherlands,Total RD&D in Million USD (2010 prices and exch. rates),133 Other transport,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Netherlands,Total RD&D in Million USD (2010 prices and exch. rates),139 Unallocated transport,5.672,12.902,4.082,8.000,5.224,12.693,12.579,12.661,10.191,11.959,14.115,13.685,17.164,20.503,17.642,15.699,11.054,15.588,18.682,15.424,15.764,19.591,16.714,10.910,..,7.558,4.762,0.138,4.301,2.693,..
Netherlands,Total RD&D in Million USD (2010 prices and exch. rates),14 Other energy efficiency,13.611,2.151,3.061,7.000,5.815,26.934,22.351,29.608,29.321,27.049,45.804,44.409,3.804,12.845,5.370,5.429,6.352,6.107,4.886,5.503,4.203,5.495,0.176,0.274,..,1.711,1.540,8.254,10.619,51.830,..
Netherlands,Total RD&D in Million USD (2010 prices and exch. rates),141 Waste heat recovery and utilisation,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Netherlands,Total RD&D in Million USD (2010 prices and exch. rates),142 Communities,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Netherlands,Total RD&D in Million USD (2010 prices and exch. rates),143 Agriculture and forestry,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Netherlands,Total RD&D in Million USD (2010 prices and exch. rates),144 Heat pumps and chillers,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Netherlands,Total RD&D in Million USD (2010 prices and exch. rates),145 Other energy efficiency,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Netherlands,Total RD&D in Million USD (2010 prices and exch. rates),149 Unallocated other energy efficiency,13.611,2.151,3.061,7.000,5.815,26.934,22.351,29.608,29.321,27.049,45.804,44.409,3.804,12.845,5.370,5.429,6.352,6.107,4.886,5.503,4.203,5.495,0.176,0.274,..,1.711,1.540,8.254,10.619,51.830,..
Netherlands,Total RD&D in Million USD (2010 prices and exch. rates),19 Unallocated energy efficiency,0.003,..,0.003,0.003,..,..,0.003,..,0.003,..,..,..,..,0.008,..,..,..,..,..,..,..,..,..,..,..,0.143,0.140,..,..,0.135,..
