Detailed Country RD&D Budgets
COUNTRY,PRODUCT,FLOW,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Portugal,Total RD&D in Million USD (2010 prices and exch. rates),GROUP 1: ENERGY EFFICIENCY,0.646,0.862,..,1.327,7.695,6.682,2.205,2.542,3.113,2.678,4.177,1.877,0.906,1.564,0.645,1.317,1.111,1.015,0.174,0.309,0.343,0.523,0.156,0.138,1.652,0.906,0.007,0.048,0.095,0.256,0.122
Portugal,Total RD&D in Million USD (2010 prices and exch. rates),11 Industry,0.258,0.449,..,0.858,2.699,3.200,0.854,0.962,1.644,1.068,2.311,0.693,0.377,0.626,0.645,1.079,0.796,0.756,0.174,0.309,0.343,0.523,0.156,0.138,1.652,0.052,..,0.029,0.028,0.044,..
Portugal,Total RD&D in Million USD (2010 prices and exch. rates),111 Industrial techniques and processes,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Portugal,Total RD&D in Million USD (2010 prices and exch. rates),112 Industrial equipment and systems,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Portugal,Total RD&D in Million USD (2010 prices and exch. rates),113 Other industry,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Portugal,Total RD&D in Million USD (2010 prices and exch. rates),119 Unallocated industry,0.258,0.449,..,0.858,2.699,3.200,0.854,0.962,1.644,1.068,2.311,0.693,0.377,0.626,0.645,1.079,0.796,0.756,0.174,0.309,0.343,0.523,0.156,0.138,1.652,0.052,..,0.029,0.028,0.044,..
Portugal,Total RD&D in Million USD (2010 prices and exch. rates),"12 Res. and comm. buildings, appliances and equipment""",0.287,0.303,..,0.291,0.065,0.192,0.367,1.163,1.205,1.611,1.866,1.184,0.505,0.119,..,0.040,0.109,0.050,..,..,..,..,..,..,..,0.854,0.007,..,0.042,0.070,0.024
Portugal,Total RD&D in Million USD (2010 prices and exch. rates),121 Building design and envelope,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Portugal,Total RD&D in Million USD (2010 prices and exch. rates),1211 Building envelope technologies,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Portugal,Total RD&D in Million USD (2010 prices and exch. rates),1212 Building design,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Portugal,Total RD&D in Million USD (2010 prices and exch. rates),1219 Unallocated building design and envelope,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Portugal,Total RD&D in Million USD (2010 prices and exch. rates),122 Building operation and efficient building equipment,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Portugal,Total RD&D in Million USD (2010 prices and exch. rates),1221 Building management systems and eff. ICT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Portugal,Total RD&D in Million USD (2010 prices and exch. rates),1222 Lighting technologies and control systems,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Portugal,Total RD&D in Million USD (2010 prices and exch. rates),"1223 Heating, cooling and ventilation technologies""",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Portugal,Total RD&D in Million USD (2010 prices and exch. rates),1224 Other building ops. and eff. building equipment,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Portugal,Total RD&D in Million USD (2010 prices and exch. rates),1229 Unallocated building operations and equipment,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Portugal,Total RD&D in Million USD (2010 prices and exch. rates),123 Appliances and other res/comm,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Portugal,Total RD&D in Million USD (2010 prices and exch. rates),1231 Appliances,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Portugal,Total RD&D in Million USD (2010 prices and exch. rates),1232 Batteries for portable devices,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Portugal,Total RD&D in Million USD (2010 prices and exch. rates),1233 Other residential/commercial,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Portugal,Total RD&D in Million USD (2010 prices and exch. rates),1239 Unallocated appliances and other res/comm,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Portugal,Total RD&D in Million USD (2010 prices and exch. rates),"129 Unalloc. res/comm bldings, appliances and equipment",0.287,0.303,..,0.291,0.065,0.192,0.367,1.163,1.205,1.611,1.866,1.184,0.505,0.119,..,0.040,0.109,0.050,..,..,..,..,..,..,..,0.854,0.007,..,0.042,0.070,0.024
Portugal,Total RD&D in Million USD (2010 prices and exch. rates),13 Transport,..,..,..,..,..,..,0.713,0.136,0.142,..,..,..,0.024,0.764,..,0.199,0.176,0.179,..,..,..,..,..,..,..,..,..,0.019,0.024,0.044,..
Portugal,Total RD&D in Million USD (2010 prices and exch. rates),131 On-road vehicles,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Portugal,Total RD&D in Million USD (2010 prices and exch. rates),1311 Vehicle batteries/storage technologies,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Portugal,Total RD&D in Million USD (2010 prices and exch. rates),"1312 Advd power elecs, motors, EV/HEV/FCV sys",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Portugal,Total RD&D in Million USD (2010 prices and exch. rates),1313 Advanced combustion engines,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Portugal,Total RD&D in Million USD (2010 prices and exch. rates),1314 Electric vehicle infrastructure,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Portugal,Total RD&D in Million USD (2010 prices and exch. rates),1315 Fuel for on-road vehicles (excl. hydrogen),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Portugal,Total RD&D in Million USD (2010 prices and exch. rates),1316 Materials for on-road vehicles,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
