Detailed Country RD&D Budgets
COUNTRY,PRODUCT,FLOW,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Spain,Total RD&D in Million USD (2010 prices and exch. rates),GROUP 1: ENERGY EFFICIENCY,8.474,12.943,31.905,39.632,124.789,20.862,10.668,8.203,8.354,3.392,6.396,74.166,21.694,8.328,13.568,10.525,6.429,6.354,11.943,5.604,7.325,4.061,3.268,6.479,3.665,4.571,7.579,10.648,12.845,10.307,4.175
Spain,Total RD&D in Million USD (2010 prices and exch. rates),11 Industry,4.636,10.162,27.107,33.966,32.416,14.760,9.601,8.203,8.354,3.392,6.396,40.972,20.812,8.062,9.536,7.128,2.603,3.019,7.197,4.560,6.956,1.485,0.834,1.619,0.111,0.132,3.325,4.931,5.883,0.053,0.029
Spain,Total RD&D in Million USD (2010 prices and exch. rates),111 Industrial techniques and processes,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Spain,Total RD&D in Million USD (2010 prices and exch. rates),112 Industrial equipment and systems,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Spain,Total RD&D in Million USD (2010 prices and exch. rates),113 Other industry,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Spain,Total RD&D in Million USD (2010 prices and exch. rates),119 Unallocated industry,4.636,10.162,27.107,33.966,32.416,14.760,9.601,8.203,8.354,3.392,6.396,40.972,20.812,8.062,9.536,7.128,2.603,3.019,7.197,4.560,6.956,1.485,0.834,1.619,0.111,0.132,3.325,4.931,5.883,0.053,0.029
Spain,Total RD&D in Million USD (2010 prices and exch. rates),"12 Res. and comm. buildings, appliances and equipment""",1.437,1.352,2.539,4.207,6.483,4.075,1.065,..,..,..,..,24.359,0.882,0.266,3.955,2.205,2.518,2.072,3.673,0.679,..,1.056,1.053,2.706,2.514,3.188,2.815,3.799,4.689,9.752,3.868
Spain,Total RD&D in Million USD (2010 prices and exch. rates),121 Building design and envelope,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Spain,Total RD&D in Million USD (2010 prices and exch. rates),1211 Building envelope technologies,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Spain,Total RD&D in Million USD (2010 prices and exch. rates),1212 Building design,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Spain,Total RD&D in Million USD (2010 prices and exch. rates),1219 Unallocated building design and envelope,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Spain,Total RD&D in Million USD (2010 prices and exch. rates),122 Building operation and efficient building equipment,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Spain,Total RD&D in Million USD (2010 prices and exch. rates),1221 Building management systems and eff. ICT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
