Detailed Country RD&D Budgets
COUNTRY,PRODUCT,FLOW,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
United Kingdom,Total RD&D in Million USD (2010 prices and exch. rates),GROUP 1: ENERGY EFFICIENCY,56.569,60.613,112.631,124.332,91.213,92.347,83.128,85.397,67.715,61.606,44.614,34.014,42.160,47.594,5.347,3.316,2.850,2.140,1.079,1.477,2.881,..,..,..,..,..,5.940,14.242,38.281,135.923,224.540
United Kingdom,Total RD&D in Million USD (2010 prices and exch. rates),11 Industry,23.974,30.485,25.029,38.012,13.625,16.823,16.625,24.961,20.173,12.390,15.701,5.773,9.517,18.815,3.304,2.278,1.523,1.123,0.829,0.463,1.170,..,..,..,..,..,..,0.312,..,8.341,8.071
United Kingdom,Total RD&D in Million USD (2010 prices and exch. rates),111 Industrial techniques and processes,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
United Kingdom,Total RD&D in Million USD (2010 prices and exch. rates),112 Industrial equipment and systems,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
United Kingdom,Total RD&D in Million USD (2010 prices and exch. rates),113 Other industry,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
United Kingdom,Total RD&D in Million USD (2010 prices and exch. rates),119 Unallocated industry,23.974,30.485,25.029,38.012,13.625,16.823,16.625,24.961,20.173,12.390,15.701,5.773,9.517,18.815,3.304,2.278,1.523,1.123,0.829,0.463,1.170,..,..,..,..,..,..,0.312,..,8.341,8.071
United Kingdom,Total RD&D in Million USD (2010 prices and exch. rates),"12 Res. and comm. buildings, appliances and equipment""",9.769,10.744,12.097,19.403,17.031,19.329,16.972,20.364,16.466,14.119,6.606,12.878,15.571,16.463,0.116,0.204,1.088,0.762,0.187,0.102,0.710,..,..,..,..,..,..,3.119,..,37.549,33.208
United Kingdom,Total RD&D in Million USD (2010 prices and exch. rates),121 Building design and envelope,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
United Kingdom,Total RD&D in Million USD (2010 prices and exch. rates),1211 Building envelope technologies,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
United Kingdom,Total RD&D in Million USD (2010 prices and exch. rates),1212 Building design,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
