"","Product","FLOW","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010"
"1","Total RD&D in Million USD (2010 prices and exch. rates)","GROUP 1: ENERGY EFFICIENCY",413.511,440.157,476.454,502.417,538.596,437.173,437.673,401.536,348.669,318.803,374.127,435.813,271.287,369.484,307.234,317.284,343.843,345.224,354.351,261.695,258.11,304.487,331.055,288.054,265.112,305.396,426.242,601.277,684.84,1087.308,743.89
"2","Total RD&D in Million USD (2010 prices and exch. rates)","11 Industry",96.565,131.696,123.167,195.95,164.963,145.378,143.984,140.373,116.996,98.187,134.976,178.015,113.289,154.671,122.404,125.279,142.085,155.444,156.345,110.529,101.716,110.372,104.545,88.562,78.815,83.044,104.257,154.953,136.377,192.453,144.565
"3","Total RD&D in Million USD (2010 prices and exch. rates)","111 Industrial techniques and processes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Total RD&D in Million USD (2010 prices and exch. rates)","112 Industrial equipment and systems",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Total RD&D in Million USD (2010 prices and exch. rates)","113 Other industry",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Total RD&D in Million USD (2010 prices and exch. rates)","119 Unallocated industry",96.565,131.696,123.167,195.95,164.963,145.378,143.984,140.373,116.996,98.187,134.976,178.015,113.289,154.671,122.404,125.279,142.085,155.444,156.345,110.529,101.716,110.372,104.545,88.562,78.815,83.044,104.257,154.953,136.377,192.453,144.565
"7","Total RD&D in Million USD (2010 prices and exch. rates)","12 Res. and comm. buildings, appliances and equipment""",142.274,130.102,142.891,144.137,128.673,117.76,96.671,91.449,83.788,82.384,65.255,123.158,70.347,73.604,71.23,77.09,94.047,87.892,91.382,81.25,74.999,101.044,87.695,79.896,82.831,114.898,142.688,215.519,270.079,322.758,192.531
"8","Total RD&D in Million USD (2010 prices and exch. rates)","121 Building design and envelope",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.299,0.588,8.205,13.177,0
"9","Total RD&D in Million USD (2010 prices and exch. rates)","1211 Building envelope technologies",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","Total RD&D in Million USD (2010 prices and exch. rates)","1212 Building design",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
