"","Industry","Buildings.Total","Design.and.Envelope","Equipment.and.Operation","Appliances","Other","Transport.EE","Transport.Liquid.Biofuels","Ag.Forestry.EE","Renewable.Energy.Total","Solar","Wind","Ocean","Geothermal","Hydro.Total","Small.Hydro","All.Biofuels","Nuclear","Hydrogen.Power","Transmission.Storage.Load.Management"
"1980",138.954,238.538,0,0,0,238.538,261.697,0,0,1560.916,898.569,141.27,99.584,345.069,0,0,76.425,3499.324,0,196.851
"1981",87.372,136.148,0,0,0,136.148,196.8,0,0,1406.017,770.234,164.353,73.376,330.828,0,0,67.226,3251.441,0,42.414
"1982",53.352,89.319,0,0,0,89.319,114.896,0,0,674.99,351.283,68.738,57.548,136.477,0,0,60.945,3376.949,0,143.87
"1983",82.448,103.781,0,0,0,103.781,195.647,0,0,509.489,234.661,61.308,20.756,108.202,0,0,84.563,2868.783,0,105.319
"1984",60.904,102.925,0,0,0,102.925,116.809,0,0,416.698,211.404,50.167,10.737,54.239,0,0,90.152,2342.656,0,103.11
"1985",53.733,123.998,0,0,0,123.998,171.262,0,0,383.317,182.224,51.756,7.548,53.373,0,0,88.416,2150.923,0,109.622
"1986",71.453,87.821,0,0,0,87.821,112.636,0,0,284.582,133.931,43.646,8.448,48.75,0,0,49.806,1952.121,0,90.989
"1987",62.354,77.388,0,0,0,77.388,95.496,0,0,258.813,121.804,29.213,7.517,36.388,0,0,63.892,1741.475,0,76.192
"1988",54.028,54.359,0,0,0,54.359,82.942,0,0,203.556,97.813,14.54,6.609,34.367,0,0,50.228,1691.727,0,84.595
"1989",46.972,54.362,0,0,0,54.362,82.906,0,0,179.907,84.578,14.144,6.483,31.044,0,0,43.659,1424.542,0,77.84
"1990",109.289,42.271,0,0,0,42.271,103.156,0,0,166.663,86.015,14.014,5.949,29.408,0,0,31.278,1300.388,0,82.657
"1991",122.836,59.198,0,0,0,59.198,121.06,0,0,221.992,102.412,17.019,3.996,43.658,0,0,54.906,1246.011,0,80.953
"1992",153.967,83.64,0,0,0,83.64,167.425,0,0,185.368,131.393,1.158,0,43.122,1.447,0,8.248,796.895,0,57.882
"1993",158.123,74.036,0,0,0,74.036,196.202,0,0,169.306,134.199,0,0,32.984,1.416,0,0.708,639.993,0,59.88
"1994",171.635,166.782,0,0,0,166.782,245.063,0,0,306.244,153.858,40.388,1.329,31.879,1.44,0,77.351,587.268,0,160.678
"1995",183.63,211.885,0,0,0,211.885,280.155,0,0,370.852,167.877,64.028,0,51.353,6.582,0,81.012,614.892,0,178.793
"1996",152.354,165.801,0,0,0,165.801,232.174,0,0,273.432,116.167,41.856,0,39.903,4.64,0,70.867,370.411,0,161.122
"1997",151.034,130.66,0,0,0,130.66,225.662,0,0,257.76,109.144,37.484,0,38.771,1.273,0,71.087,361.04,0,164.369
"1998",173.365,126.107,0,0,0,126.107,246,0,0,316.822,111.218,41.949,0,37.159,0.906,0,125.589,307.241,0,163.525
"1999",207.594,151.637,0,0,0,151.637,253.367,0,0,330.01,119.616,43.82,0,35.901,4.094,0,126.579,310.02,0,162.304
"2000",171.692,153.816,0,0,0,153.816,285.816,0,0,263.277,101.717,39.65,0,29.153,6.074,0,86.685,341.138,0,154.673
"2001",181.594,159.114,0,0,0,159.114,312.059,0,0,305.955,113.243,48.328,0,32.881,6.096,0,105.407,361.414,0,165.275
"2002",173.234,150.508,0,0,0,150.508,295.843,0,0,297.312,107.505,45.928,0,32.495,5.993,0,105.391,348.977,0,174.182
"2003",113.905,68.616,0,0,0,68.616,204.896,0,0,285.466,96.854,48.986,0,33.398,5.901,0,100.328,436.124,0,192.718
"2004",103.438,66.099,0,0,0,66.099,197.15,0,0,277.817,92.324,45.519,0,28.161,5.344,0,96.757,438.482,171.134,129.314
"2005",74.517,34.959,0,0,0,34.959,423.486,0,0,277.115,81.293,40.857,0,21.043,6.695,0,119.262,826.468,348.715,172.538
"2006",52.778,50.365,0,0,0,50.365,332.253,0,0,217.776,49.588,16.147,0,18.279,0,0,101.079,703.584,348.014,155.132
"2007",46.294,61.706,0,0,0,61.706,428.742,0,0,579.359,176.836,34.645,1.344,6.299,0,0,300.171,875.561,334.069,136.452
"2008",59.011,76.012,0,0,0,76.012,505.245,0,0,456.737,163.575,27.287,10.985,25.745,6.465,0,185.684,984.407,327.228,123.492
"2009",1130.231,257.559,115.144,101.004,0,41.411,752.477,977.715,0,2228.141,400.984,186.857,25.251,391.894,38.381,32.321,1184.773,851.461,359.573,929.234
"2010",95,132,95,37,0,0,866,189,0,1310,345,84,34,47,14,2,786,888,333,275
