Year,Total,Fossil Fuel,Nuclear,"Geothermal, Solar, Conservation & Utilization",Other
1980,2599,993,150,NA,NA
1981,2680,1257,126,573,724
1982,2762,1361,99,NA,NA
1983,2842,1455,90,1147,150
1984,2962,1509,101,1086,267
1985,2537,1797,150,313,277
1986,2167,NA,91,NA,NA
1987,2410,NA,109,NA,NA
1988,2317,1519.39269,117,314.119422,367
1989,2418,1485,39,NA,478
1990,2558,1704,72,278,504
1991,2691,1869,46,478,298
1992,2084,1414,72,474,124
1993,1694,1003,NA,307,325
1994,1660,874,NA,300,NA
1995,1360,787,NA,245,NA
1996,1306,816,NA,226,NA
1997,884,679,NA,NA,NA
1998,1107,910,NA,NA,NA
1999,935,815,NA,NA,NA
2000,1151,806,NA,NA,NA
2001,1302,726,23,236,212
2002,941,NA,NA,249,163
2003,1847,928,NA,NA,663
2004,2279,1040,30,261,948
2005,2760,1339,274,272,875
2006,4000,2363,347,205,1085
2007,5259,2819,472,304,1664
