#NAME?,"<?xml version=""1.0""?><WebTableParameter xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xmlns:xsd=""http://www.w3.org/2001/XMLSchema"" xmlns=""""><DataTable Code=""PERS_SCIENCE"" HasMetadata=""true""><Name LocaleIsoCode=""en"">R-D personnel by sector of employment and field of science</Name><Dimension Code=""SCIENCE""><Name LocaleIsoCode=""en"">Field of Sciences</Name><Member Code=""TOTAL_S""><Name LocaleIsoCode=""en"">All fields of science</Name><ChildMember Code=""NSE""><Name LocaleIsoCode=""en"">Natural sciences and engineering</Name><ChildMember Code=""NAT""><Name LocaleIsoCode=""en"">Natural Sciences</Name></ChildMember><ChildMember Code=""ENG""><Name LocaleIsoCode=""en"">Engineering and technology</Name></ChildMember><ChildMember Code=""MED""><Name LocaleIsoCode=""en"">Medical and Health sciences</Name></ChildMember><ChildMember Code=""AGR""><Name LocaleIsoCode=""en"">Agricultural Sciences</Name></ChildMember></ChildMember><ChildMember Code=""SSH""><Name LocaleIsoCode=""en"">Social sciences and humanities</Name><ChildMember Code=""SOC""><Name LocaleIsoCode=""en"">Social Siences</Name></ChildMember><ChildMember Code=""HUM""><Name LocaleIsoCode=""en"">Humanities</Name></ChildMember></ChildMember><ChildMember Code=""NEC""><Name LocaleIsoCode=""en"">Not elsewhere classified (Fields of Science)</Name></ChildMember></Member></Dimension><Dimension Code=""SECTOR""><Name LocaleIsoCode=""en"">Sector of employment</Name><Member Code=""TIM""><Name LocaleIsoCode=""en"">Total intramural</Name><ChildMember Code=""BE""><Name LocaleIsoCode=""en"">Business enterprise</Name></ChildMember><ChildMember Code=""GV""><Name LocaleIsoCode=""en"">Government</Name></ChildMember><ChildMember Code=""HE""><Name LocaleIsoCode=""en"">Higher education</Name></ChildMember><ChildMember Code=""PNP""><Name LocaleIsoCode=""en"">Private non-profit</Name></ChildMember></Member></Dimension><Dimension Code=""UNITS_PERS""><Name LocaleIsoCode=""en"">Units for Personnel</Name><Member Code=""FTE""><Name LocaleIsoCode=""en"">Full-time equivalent on R&amp;D activities</Name></Member><Member Code=""HC""><Name LocaleIsoCode=""en"">Headcount</Name></Member></Dimension><Dimension Code=""GENDER""><Name LocaleIsoCode=""en"">Gender</Name><Member Code=""TOT""><Name LocaleIsoCode=""en"">Total</Name><ChildMember Code=""WOM""><Name LocaleIsoCode=""en"">Women</Name></ChildMember></Member></Dimension><Dimension Code=""CRITERIA""><Name LocaleIsoCode=""en"">Occupation criteria</Name><Member Code=""TOTAL""><Name LocaleIsoCode=""en"">Total Personnel R&amp;D</Name></Member><Member Code=""RSE""><Name LocaleIsoCode=""en"">Researchers</Name></Member></Dimension><Dimension Code=""COU"" CommonCode=""LOCATION"" Display=""labels""><Name LocaleIsoCode=""en"">Country</Name><Member Code=""AUS"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Australia</Name></Member><Member Code=""AUT"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Austria</Name></Member><Member Code=""BEL"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Belgium</Name></Member><Member Code=""CAN"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Canada</Name></Member><Member Code=""CHL""><Name LocaleIsoCode=""en"">Chile</Name></Member><Member Code=""CZE"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Czech Republic</Name></Member><Member Code=""DNK"" HasMetadata=""true"" IsDisplayed=""true""><Name LocaleIsoCode=""en"">Denmark</Name></Member><Member Code=""EST""><Name LocaleIsoCode=""en"">Estonia</Name></Member><Member Code=""FIN"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Finland</Name></Member><Member Code=""FRA"" HasMetadata=""true""><Name LocaleIsoCode=""en"">France</Name></Member><Member Code=""DEU"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Germany</Name></Member><Member Code=""GRC"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Greece</Name></Member><Member Code=""HUN"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Hungary</Name></Member><Member Code=""ISL""><Name LocaleIsoCode=""en"">Iceland</Name></Member><Member Code=""IRL"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Ireland</Name></Member><Member Code=""ISR"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Israel</Name></Member><Member Code=""ITA"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Italy</Name></Member><Member Code=""JPN"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Japan</Name></Member><Member Code=""KOR"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Korea</Name></Member><Member Code=""LUX"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Luxembourg</Name></Member><Member Code=""MEX"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Mexico</Name></Member><Member Code=""NLD"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Netherlands</Name></Member><Member Code=""NZL"" HasMetadata=""true""><Name LocaleIsoCode=""en"">New Zealand</Name></Member><Member Code=""NOR"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Norway</Name></Member><Member Code=""POL"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Poland</Name></Member><Member Code=""PRT"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Portugal</Name></Member><Member Code=""SVK"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Slovak Republic</Name></Member><Member Code=""SVN"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Slovenia</Name></Member><Member Code=""ESP"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Spain</Name></Member><Member Code=""SWE"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Sweden</Name></Member><Member Code=""CHE"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Switzerland</Name></Member><Member Code=""TUR"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Turkey</Name></Member><Member Code=""GBR"" HasMetadata=""true""><Name LocaleIsoCode=""en"">United Kingdom</Name></Member><Member Code=""USA"" HasMetadata=""true""><Name LocaleIsoCode=""en"">United States</Name></Member><Member Code=""NMEC""><Name LocaleIsoCode=""en"">Non-OECD Member Economies</Name><ChildMember Code=""ARG"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Argentina</Name></ChildMember><ChildMember Code=""CHN"" HasMetadata=""true""><Name LocaleIsoCode=""en"">China</Name></ChildMember><ChildMember Code=""ROU"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Romania</Name></ChildMember><ChildMember Code=""RUS"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Russian Federation</Name></ChildMember><ChildMember Code=""SGP"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Singapore</Name></ChildMember><ChildMember Code=""ZAF"" HasMetadata=""true""><Name LocaleIsoCode=""en"">South Africa</Name></ChildMember><ChildMember Code=""TWN"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Chinese Taipei</Name></ChildMember></Member></Dimension><Dimension Code=""YEAR"" CommonCode=""TIME""><Name LocaleIsoCode=""en"">Year</Name><Member Code=""1981""><Name LocaleIsoCode=""en"">1981</Name></Member><Member Code=""1982""><Name LocaleIsoCode=""en"">1982</Name></Member><Member Code=""1983""><Name LocaleIsoCode=""en"">1983</Name></Member><Member Code=""1984""><Name LocaleIsoCode=""en"">1984</Name></Member><Member Code=""1985""><Name LocaleIsoCode=""en"">1985</Name></Member><Member Code=""1986""><Name LocaleIsoCode=""en"">1986</Name></Member><Member Code=""1987""><Name LocaleIsoCode=""en"">1987</Name></Member><Member Code=""1988""><Name LocaleIsoCode=""en"">1988</Name></Member><Member Code=""1989""><Name LocaleIsoCode=""en"">1989</Name></Member><Member Code=""1990""><Name LocaleIsoCode=""en"">1990</Name></Member><Member Code=""1991""><Name LocaleIsoCode=""en"">1991</Name></Member><Member Code=""1992""><Name LocaleIsoCode=""en"">1992</Name></Member><Member Code=""1993""><Name LocaleIsoCode=""en"">1993</Name></Member><Member Code=""1994""><Name LocaleIsoCode=""en"">1994</Name></Member><Member Code=""1995""><Name LocaleIsoCode=""en"">1995</Name></Member><Member Code=""1996""><Name LocaleIsoCode=""en"">1996</Name></Member><Member Code=""1997""><Name LocaleIsoCode=""en"">1997</Name></Member><Member Code=""1998""><Name LocaleIsoCode=""en"">1998</Name></Member><Member Code=""1999""><Name LocaleIsoCode=""en"">1999</Name></Member><Member Code=""2000""><Name LocaleIsoCode=""en"">2000</Name></Member><Member Code=""2001""><Name LocaleIsoCode=""en"">2001</Name></Member><Member Code=""2002""><Name LocaleIsoCode=""en"">2002</Name></Member><Member Code=""2003""><Name LocaleIsoCode=""en"">2003</Name></Member><Member Code=""2004""><Name LocaleIsoCode=""en"">2004</Name></Member><Member Code=""2005""><Name LocaleIsoCode=""en"">2005</Name></Member><Member Code=""2006""><Name LocaleIsoCode=""en"">2006</Name></Member><Member Code=""2007""><Name LocaleIsoCode=""en"">2007</Name></Member><Member Code=""2008""><Name LocaleIsoCode=""en"">2008</Name></Member><Member Code=""2009""><Name LocaleIsoCode=""en"">2009</Name></Member><Member Code=""2010""><Name LocaleIsoCode=""en"">2010</Name></Member></Dimension><WBOSInformations><TimeDimension WebTreeWasUsed=""false""><StartCodes Annual=""1981"" /></TimeDimension></WBOSInformations><Tabulation Axis=""horizontal""><Dimension Code=""YEAR"" CommonCode=""TIME"" /></Tabulation><Tabulation Axis=""vertical""><Dimension Code=""SECTOR"" /><Dimension Code=""SCIENCE"" /></Tabulation><Tabulation Axis=""page""><Dimension Code=""COU"" CommonCode=""LOCATION"" /><Dimension Code=""GENDER"" /><Dimension Code=""UNITS_PERS"" /><Dimension Code=""CRITERIA"" /></Tabulation><Formatting><Labels LocaleIsoCode=""en"" /><Power>0</Power><Decimals>-1</Decimals><SkipEmptyLines>false</SkipEmptyLines><FullyFillPage>false</FullyFillPage><SkipEmptyCols>false</SkipEmptyCols><SkipLineHierarchy>false</SkipLineHierarchy><SkipColHierarchy>false</SkipColHierarchy><Page>1</Page></Formatting></DataTable><Format><ShowEmptyAxes>true</ShowEmptyAxes><Page>1</Page><EnableSort>true</EnableSort><IncludeFlagColumn>false</IncludeFlagColumn><DoBarChart>false</DoBarChart><MaxBarChartLen>65</MaxBarChartLen></Format><Query><AbsoluteUri>http://stats.oecd.org//View.aspx?QueryId=&amp;QueryType=Public&amp;Lang=en</AbsoluteUri></Query></WebTableParameter>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset: R-D personnel by sector of employment and field of science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,,,,,,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gender,,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units for Personnel,,,,,,Full-time equivalent on R&D activities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Occupation criteria,,,,,,Total Personnel R&D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,,,,,,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Sector of employment,,Field of Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total intramural,,All fields of science,,,,16476,17235,18142,19029,19914,20934,21953,23146,24339,25047,25756,26573,27388,..,30212,32148,34187,35194,36452,37693,39892,..,41607.284,42687.391,43498.567,44877.69,46897.1,..,54391,..
,,All fields of science,Natural sciences and engineering,,,14831,15535,16379,17202,18024,..,19831,20941,22052,22804,23557,24343,25127,..,27443,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,Natural sciences and engineering,Natural Sciences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,,Engineering and technology,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,,Medical and Health sciences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,,Agricultural Sciences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,Social sciences and humanities,,,1645,1700,1763,1827,1890,..,2122,2205,2287,2243,2199,2231,2263,..,2770,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,Social sciences and humanities,Social Siences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,,Humanities,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,Not elsewhere classified (Fields of Science),,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Total intramural,Business enterprise,All fields of science,,,,8880,9404,9928,10430,10932,11703,12474,13222,13969,14605,15242,15607,15971,..,17194,18615,20037,21198,21824,23725,25849,..,27230.444,28040.211,28359.087,29238.27,31168,..,35551.7,..
,,All fields of science,Natural sciences and engineering,,,8880,9404,9928,10430,10932,..,12474,13222,13969,14605,15242,15607,15971,..,17195,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,Natural sciences and engineering,Natural Sciences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,,Engineering and technology,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,,Medical and Health sciences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,,Agricultural Sciences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,Social sciences and humanities,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,Social sciences and humanities,Social Siences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,,Humanities,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,Not elsewhere classified (Fields of Science),,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Government,All fields of science,,,,3420,3545,3763,3981,4199,4194,4188,4306,4423,4402,4380,4648,4915,..,5439,5506,5675,5853,6236,5658,5488,3384,3439.1,3249.86,3240.25,3273.38,1710.8,..,1458.6,..
,,All fields of science,Natural sciences and engineering,,,2887,3004,3215,3425,3636,..,3539,3642,3745,3761,3776,4029,4283,..,4707,..,4920,..,5516,5073,4910,2843,2917.4,2749.76,2674.03,2575.98,1102.8,..,895.3,..
,,,Natural sciences and engineering,Natural Sciences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1116,..,1494,1249,1010,769,844.37,636.31,591.92,627.85,430,..,204,..
,,,,Engineering and technology,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,405,..,446,397,460,516,526.06,556.03,550.44,561.31,56,..,11.6,..
,,,,Medical and Health sciences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2360,..,2479,2374,2369,468,514.63,695.27,774.19,634.8,582.8,..,670.2,..
,,,,Agricultural Sciences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1040,..,1097,1053,1071,1090,1032.34,862.15,757.48,752.02,34,..,9.5,..
,,,Social sciences and humanities,,,533,541,548,556,563,..,649,664,678,641,604,619,634,..,732,..,755,..,721,642,666,541,521.7,500.1,566.22,697.4,608,..,563.3,..
,,,Social sciences and humanities,Social Siences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,310,..,307,339,352,314,290.77,297.01,359.62,491.67,369,..,299.3,..
,,,,Humanities,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,444,..,414,303,314,227,230.93,203.09,206.6,205.73,239,..,264,..
,,,Not elsewhere classified (Fields of Science),,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,..,..,..,..,..,..,..
,Higher education,All fields of science,,,,4001,4116,4274,4434,4592,4818,5045,5355,5666,5731,5796,6006,6216,..,7213,7676,8138,7693,8017,8015,8272,10310,10697.05,11139.03,11561.4,12079.6,13741.9,..,17104,..
,,All fields of science,Natural sciences and engineering,,,2917,2988,3088,3189,3289,3451,3613,3854,4096,4168,4240,4422,4603,..,5208,..,5838,..,5573,5489,5670,7627,7906.97,8203.45,8409,8976.24,10505.9,..,13225.2,..
,,,Natural sciences and engineering,Natural Sciences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2791,..,2666,2642,2608,2671,2728.71,2737.81,2674.52,2487.5,2778.9,..,3522.8,..
,,,,Engineering and technology,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1235,..,1149,1231,1117,971,1119.48,1193.19,1149.87,1697,1701,..,2733,..
,,,,Medical and Health sciences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1086,..,1100,1014,1332,3273,3387.09,3367.26,3924.3,4155.67,4555,..,5402.2,..
,,,,Agricultural Sciences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,726,..,658,602,613,712,671.69,905.19,660.3,636.07,1471,..,1567.2,..
,,,Social sciences and humanities,,,1084,1128,1186,1245,1303,1369,1432,1501,1570,1563,1556,1584,1613,..,2005,..,2302,..,2445,2470,2515,2683,2790.08,2935.58,3152.4,3103.36,3236,..,3878.9,..
,,,Social sciences and humanities,Social Siences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1024,..,1107,1136,1156,1210,1256.83,1378.78,1376.63,1939.3,2054,..,2502,..
,,,,Humanities,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1278,..,1338,1334,1359,1473,1533.25,1556.8,1775.78,1164.06,1182,..,1376.9,..
,,,Not elsewhere classified (Fields of Science),,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Private non-profit,All fields of science,,,,175,170,177,184,191,219,246,263,281,309,338,312,286,..,366,350.5,335,450,375,295,283,231,240.69,258.29,337.83,286.44,276.4,..,276.7,..
,,All fields of science,Natural sciences and engineering,,,147,139,148,158,167,..,205,223,242,270,299,284,270,..,333,..,326,..,358,280,259,216,232.69,252.54,332.45,251.56,249,..,..,..
,,,Natural sciences and engineering,Natural Sciences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,76,..,102,74,0,..,..,..,0,0,0,..,..,..
,,,,Engineering and technology,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5,6,0,5,5,4.17,8,0,2,..,..,..
,,,,Medical and Health sciences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,250,..,241,190,238,193,211.53,228.79,304.28,235.19,212,..,227.7,..
,,,,Agricultural Sciences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10,10,21,18,16.16,19.58,20.17,16.37,35,..,..,..
,,,Social sciences and humanities,,,28,31,29,26,24,..,41,40,39,39,39,28,17,..,34,..,9,..,16,15,24,15,8,5.75,5.38,34.88,28,..,48.9,..
,,,Social sciences and humanities,Social Siences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8,..,7,9,18,12,2,2.5,2.08,32.08,22,..,46.1,..
,,,,Humanities,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,..,9,6,6,3,6,3.25,3.3,2.8,6,..,2.8,..
,,,Not elsewhere classified (Fields of Science),,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
data extracted on 17 Oct 2012 21:08 UTC (GMT) from OECD.Stat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legend:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a:,Break in series with previous year for which data is available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c:,National estimate or projection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p:,Provisional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:,Unrevised breakdown not adding to the revised total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
