#NAME?,"<?xml version=""1.0""?><WebTableParameter xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xmlns:xsd=""http://www.w3.org/2001/XMLSchema"" xmlns=""""><DataTable Code=""PERS_SCIENCE"" HasMetadata=""true""><Name LocaleIsoCode=""en"">R-D personnel by sector of employment and field of science</Name><Dimension Code=""SCIENCE""><Name LocaleIsoCode=""en"">Field of Sciences</Name><Member Code=""TOTAL_S""><Name LocaleIsoCode=""en"">All fields of science</Name><ChildMember Code=""NSE""><Name LocaleIsoCode=""en"">Natural sciences and engineering</Name><ChildMember Code=""NAT""><Name LocaleIsoCode=""en"">Natural Sciences</Name></ChildMember><ChildMember Code=""ENG""><Name LocaleIsoCode=""en"">Engineering and technology</Name></ChildMember><ChildMember Code=""MED""><Name LocaleIsoCode=""en"">Medical and Health sciences</Name></ChildMember><ChildMember Code=""AGR""><Name LocaleIsoCode=""en"">Agricultural Sciences</Name></ChildMember></ChildMember><ChildMember Code=""SSH""><Name LocaleIsoCode=""en"">Social sciences and humanities</Name><ChildMember Code=""SOC""><Name LocaleIsoCode=""en"">Social Siences</Name></ChildMember><ChildMember Code=""HUM""><Name LocaleIsoCode=""en"">Humanities</Name></ChildMember></ChildMember><ChildMember Code=""NEC""><Name LocaleIsoCode=""en"">Not elsewhere classified (Fields of Science)</Name></ChildMember></Member></Dimension><Dimension Code=""SECTOR""><Name LocaleIsoCode=""en"">Sector of employment</Name><Member Code=""TIM""><Name LocaleIsoCode=""en"">Total intramural</Name><ChildMember Code=""BE""><Name LocaleIsoCode=""en"">Business enterprise</Name></ChildMember><ChildMember Code=""GV""><Name LocaleIsoCode=""en"">Government</Name></ChildMember><ChildMember Code=""HE""><Name LocaleIsoCode=""en"">Higher education</Name></ChildMember><ChildMember Code=""PNP""><Name LocaleIsoCode=""en"">Private non-profit</Name></ChildMember></Member></Dimension><Dimension Code=""UNITS_PERS""><Name LocaleIsoCode=""en"">Units for Personnel</Name><Member Code=""FTE""><Name LocaleIsoCode=""en"">Full-time equivalent on R&amp;D activities</Name></Member><Member Code=""HC""><Name LocaleIsoCode=""en"">Headcount</Name></Member></Dimension><Dimension Code=""GENDER""><Name LocaleIsoCode=""en"">Gender</Name><Member Code=""TOT""><Name LocaleIsoCode=""en"">Total</Name><ChildMember Code=""WOM""><Name LocaleIsoCode=""en"">Women</Name></ChildMember></Member></Dimension><Dimension Code=""CRITERIA""><Name LocaleIsoCode=""en"">Occupation criteria</Name><Member Code=""TOTAL""><Name LocaleIsoCode=""en"">Total Personnel R&amp;D</Name></Member><Member Code=""RSE""><Name LocaleIsoCode=""en"">Researchers</Name></Member></Dimension><Dimension Code=""COU"" CommonCode=""LOCATION"" Display=""labels""><Name LocaleIsoCode=""en"">Country</Name><Member Code=""AUS"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Australia</Name></Member><Member Code=""AUT"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Austria</Name></Member><Member Code=""BEL"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Belgium</Name></Member><Member Code=""CAN"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Canada</Name></Member><Member Code=""CHL""><Name LocaleIsoCode=""en"">Chile</Name></Member><Member Code=""CZE"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Czech Republic</Name></Member><Member Code=""DNK"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Denmark</Name></Member><Member Code=""EST""><Name LocaleIsoCode=""en"">Estonia</Name></Member><Member Code=""FIN"" HasMetadata=""true"" IsDisplayed=""true""><Name LocaleIsoCode=""en"">Finland</Name></Member><Member Code=""FRA"" HasMetadata=""true""><Name LocaleIsoCode=""en"">France</Name></Member><Member Code=""DEU"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Germany</Name></Member><Member Code=""GRC"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Greece</Name></Member><Member Code=""HUN"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Hungary</Name></Member><Member Code=""ISL""><Name LocaleIsoCode=""en"">Iceland</Name></Member><Member Code=""IRL"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Ireland</Name></Member><Member Code=""ISR"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Israel</Name></Member><Member Code=""ITA"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Italy</Name></Member><Member Code=""JPN"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Japan</Name></Member><Member Code=""KOR"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Korea</Name></Member><Member Code=""LUX"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Luxembourg</Name></Member><Member Code=""MEX"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Mexico</Name></Member><Member Code=""NLD"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Netherlands</Name></Member><Member Code=""NZL"" HasMetadata=""true""><Name LocaleIsoCode=""en"">New Zealand</Name></Member><Member Code=""NOR"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Norway</Name></Member><Member Code=""POL"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Poland</Name></Member><Member Code=""PRT"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Portugal</Name></Member><Member Code=""SVK"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Slovak Republic</Name></Member><Member Code=""SVN"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Slovenia</Name></Member><Member Code=""ESP"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Spain</Name></Member><Member Code=""SWE"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Sweden</Name></Member><Member Code=""CHE"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Switzerland</Name></Member><Member Code=""TUR"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Turkey</Name></Member><Member Code=""GBR"" HasMetadata=""true""><Name LocaleIsoCode=""en"">United Kingdom</Name></Member><Member Code=""USA"" HasMetadata=""true""><Name LocaleIsoCode=""en"">United States</Name></Member><Member Code=""NMEC""><Name LocaleIsoCode=""en"">Non-OECD Member Economies</Name><ChildMember Code=""ARG"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Argentina</Name></ChildMember><ChildMember Code=""CHN"" HasMetadata=""true""><Name LocaleIsoCode=""en"">China</Name></ChildMember><ChildMember Code=""ROU"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Romania</Name></ChildMember><ChildMember Code=""RUS"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Russian Federation</Name></ChildMember><ChildMember Code=""SGP"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Singapore</Name></ChildMember><ChildMember Code=""ZAF"" HasMetadata=""true""><Name LocaleIsoCode=""en"">South Africa</Name></ChildMember><ChildMember Code=""TWN"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Chinese Taipei</Name></ChildMember></Member></Dimension><Dimension Code=""YEAR"" CommonCode=""TIME""><Name LocaleIsoCode=""en"">Year</Name><Member Code=""1981""><Name LocaleIsoCode=""en"">1981</Name></Member><Member Code=""1982""><Name LocaleIsoCode=""en"">1982</Name></Member><Member Code=""1983""><Name LocaleIsoCode=""en"">1983</Name></Member><Member Code=""1984""><Name LocaleIsoCode=""en"">1984</Name></Member><Member Code=""1985""><Name LocaleIsoCode=""en"">1985</Name></Member><Member Code=""1986""><Name LocaleIsoCode=""en"">1986</Name></Member><Member Code=""1987""><Name LocaleIsoCode=""en"">1987</Name></Member><Member Code=""1988""><Name LocaleIsoCode=""en"">1988</Name></Member><Member Code=""1989""><Name LocaleIsoCode=""en"">1989</Name></Member><Member Code=""1990""><Name LocaleIsoCode=""en"">1990</Name></Member><Member Code=""1991""><Name LocaleIsoCode=""en"">1991</Name></Member><Member Code=""1992""><Name LocaleIsoCode=""en"">1992</Name></Member><Member Code=""1993""><Name LocaleIsoCode=""en"">1993</Name></Member><Member Code=""1994""><Name LocaleIsoCode=""en"">1994</Name></Member><Member Code=""1995""><Name LocaleIsoCode=""en"">1995</Name></Member><Member Code=""1996""><Name LocaleIsoCode=""en"">1996</Name></Member><Member Code=""1997""><Name LocaleIsoCode=""en"">1997</Name></Member><Member Code=""1998""><Name LocaleIsoCode=""en"">1998</Name></Member><Member Code=""1999""><Name LocaleIsoCode=""en"">1999</Name></Member><Member Code=""2000""><Name LocaleIsoCode=""en"">2000</Name></Member><Member Code=""2001""><Name LocaleIsoCode=""en"">2001</Name></Member><Member Code=""2002""><Name LocaleIsoCode=""en"">2002</Name></Member><Member Code=""2003""><Name LocaleIsoCode=""en"">2003</Name></Member><Member Code=""2004""><Name LocaleIsoCode=""en"">2004</Name></Member><Member Code=""2005""><Name LocaleIsoCode=""en"">2005</Name></Member><Member Code=""2006""><Name LocaleIsoCode=""en"">2006</Name></Member><Member Code=""2007""><Name LocaleIsoCode=""en"">2007</Name></Member><Member Code=""2008""><Name LocaleIsoCode=""en"">2008</Name></Member><Member Code=""2009""><Name LocaleIsoCode=""en"">2009</Name></Member><Member Code=""2010""><Name LocaleIsoCode=""en"">2010</Name></Member></Dimension><WBOSInformations><TimeDimension WebTreeWasUsed=""false""><StartCodes Annual=""1981"" /></TimeDimension></WBOSInformations><Tabulation Axis=""horizontal""><Dimension Code=""YEAR"" CommonCode=""TIME"" /></Tabulation><Tabulation Axis=""vertical""><Dimension Code=""SECTOR"" /><Dimension Code=""SCIENCE"" /></Tabulation><Tabulation Axis=""page""><Dimension Code=""COU"" CommonCode=""LOCATION"" /><Dimension Code=""GENDER"" /><Dimension Code=""UNITS_PERS"" /><Dimension Code=""CRITERIA"" /></Tabulation><Formatting><Labels LocaleIsoCode=""en"" /><Power>0</Power><Decimals>-1</Decimals><SkipEmptyLines>false</SkipEmptyLines><FullyFillPage>false</FullyFillPage><SkipEmptyCols>false</SkipEmptyCols><SkipLineHierarchy>false</SkipLineHierarchy><SkipColHierarchy>false</SkipColHierarchy><Page>1</Page></Formatting></DataTable><Format><ShowEmptyAxes>true</ShowEmptyAxes><Page>1</Page><EnableSort>true</EnableSort><IncludeFlagColumn>false</IncludeFlagColumn><DoBarChart>false</DoBarChart><MaxBarChartLen>65</MaxBarChartLen></Format><Query><AbsoluteUri>http://stats.oecd.org//View.aspx?QueryId=&amp;QueryType=Public&amp;Lang=en</AbsoluteUri></Query></WebTableParameter>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset: R-D personnel by sector of employment and field of science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,,,,,,Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gender,,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units for Personnel,,,,,,Full-time equivalent on R&D activities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Occupation criteria,,,,,,Total Personnel R&D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,,,,,,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Sector of employment,,Field of Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total intramural,,All fields of science,,,,18004,..,20219,..,23550,..,26227,..,28516,..,29575,..,30527,32331,33634,..,41256,46517,50603.9,52604.368,53424.407,..,..,..,57471.332,58257.033,56242.97,56698.485,56069.011,..
,,All fields of science,Natural sciences and engineering,,,..,..,18142,..,..,..,23927,..,..,..,26829,..,27552,..,30470,..,37213,41985.8,45851,47922.37,..,..,..,..,..,..,..,..,..,..
,,,Natural sciences and engineering,Natural Sciences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,,Engineering and technology,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,,Medical and Health sciences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,,Agricultural Sciences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,Social sciences and humanities,,,..,..,1999,..,..,..,2303,..,..,..,2744,..,2975,..,3164,..,4044,4531,4753,4683,..,..,..,..,..,..,..,..,..,..
,,,Social sciences and humanities,Social Siences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,,Humanities,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,Not elsewhere classified (Fields of Science),,,..,..,81,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Total intramural,Business enterprise,All fields of science,,,,8367,..,9660,..,12050,..,13514,..,14535,..,15028,..,15180,16900,17798,20756,22302,25010,27817.9,29384.368,30090.407,..,..,..,32108.94,32993.5,31939.814,33111.085,32237.346,..
,,All fields of science,Natural sciences and engineering,,,8234,..,9660,..,12050,..,13514,..,14535,..,15028,..,15180,16900,17798,20756,22302,25010,27817.9,29384.37,..,..,..,..,..,..,..,..,..,..
,,,Natural sciences and engineering,Natural Sciences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,,Engineering and technology,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,,Medical and Health sciences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,,Agricultural Sciences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,Social sciences and humanities,,,133,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,Social sciences and humanities,Social Siences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,,Humanities,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,Not elsewhere classified (Fields of Science),,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Government,All fields of science,,,,4563,..,4957,..,5493,..,5891,..,6414,..,6654,..,6655,6849,6430,..,6826,7498,7454,7314,7288,7383,7353,7337,7422,7408.3,7324.8,7122.2,6787.1,..
,,All fields of science,Natural sciences and engineering,,,..,..,4377,..,..,..,5394,..,6013,..,6276,..,6280,..,6072,..,6349,6994,7100,6982,6868.3,6967,6956,6916,6966.4,6912,6836.871,6657,6325.179,..
,,,Natural sciences and engineering,Natural Sciences,,..,..,832,..,..,..,984,..,1107,..,1106,..,1168,..,1157,..,1151,1210,1269,1203,1177.4,1234,1278,1294,1280.7,1235,1235.1,1140.1,1197.18,..
,,,,Engineering and technology,,..,..,1854,..,..,..,2382,..,2647,..,2693,..,2708,..,2706,..,2621,2832,2952,2912,2863.6,2821,2685,2591,2559.4,2532,2547.915,2656.6,2661.843,..
,,,,Medical and Health sciences,,..,..,423,..,..,..,407,..,488,..,512,..,585,..,684,..,943,1029,1086,1094,1092.1,1165,1249,1242,1322.4,1315,1338.24,1193.9,920.694,..
,,,,Agricultural Sciences,,..,..,1268,..,..,..,1621,..,1771,..,1965,..,1819,..,1525,..,1634,1923,1793,1773,1735.2,1747,1744,1789,1803.9,1830,1715.616,1666.4,1545.462,..
,,,Social sciences and humanities,,,..,..,619,..,..,..,623,..,607,..,608,..,645,..,619,..,750,861,846,780,869.2,872,892,931,942.6,988,962.829,962.4,1016.118,..
,,,Social sciences and humanities,Social Siences,,..,..,378,..,..,..,363,..,383,..,406,..,496,..,456,..,607,716,693,634,706.6,702,734,764,788.1,831,814.371,815.6,864.033,..
,,,,Humanities,,..,..,241,..,..,..,260,..,224,..,202,..,149,..,163,..,143,145,153,146,162.6,170,158,167,154.5,157,148.458,146.8,152.085,..
,,,Not elsewhere classified (Fields of Science),,,..,..,81,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Higher education,All fields of science,,,,4950,..,5483,..,5890,..,6698,..,7362,..,7662,..,8422,8582,9146,..,11855,13653,14840,15459,15596,16884,17486.4,17822.331,17453.392,17362.333,16503.457,15968,16490.365,..
,,All fields of science,Natural sciences and engineering,,,..,..,4105,..,..,..,5019,..,..,..,5525,..,6092,..,6600,..,8562,9982,10934,11556,11585,12361.8,12722,12737,12622.9,12532,11852.969,11452.9,11795.991,..
,,,Natural sciences and engineering,Natural Sciences,,..,..,1468,..,..,..,1736,..,..,..,1840,..,1934,..,2182,..,3353,4240,4506,4774,4731,4724.4,4899,4793,4782.5,4762,4418.277,4252.5,4460.545,..
,,,,Engineering and technology,,..,..,1255,..,..,..,1555,..,..,..,1945,..,2311,..,2324,..,2363,2736,3076,3493,3503,3768.4,3821,3887,3774.8,3689,3580.292,3272.7,3550.915,..
,,,,Medical and Health sciences,,..,..,1202,..,..,..,1444,..,..,..,1423,..,1460,..,1684,..,2572,2684,2950,2949,3009,3432.3,3533,3583,3607.6,3693,3270.325,3411.3,3253.124,..
,,,,Agricultural Sciences,,..,..,180,..,..,..,284,..,..,..,317,..,387,..,410,..,274,322,402,340,342,436.7,469,474,458,388,584.076,516.4,531.406,..
,,,Social sciences and humanities,,,..,..,1380,..,..,..,1680,..,..,..,2136,..,2330,..,2545,..,3294,3671,3907,3903,4011,4522,4765,5085.3,4830.4,4831,4650.488,4513.2,4694.374,..
,,,Social sciences and humanities,Social Siences,,..,..,929,..,..,..,1155,..,..,..,1385,..,1531,..,1609,..,2264,2508,2721,2711,2829,3224.4,3418,3652,3519.6,3623,3530.191,3452.3,3592.765,..
,,,,Humanities,,..,..,451,..,..,..,525,..,..,..,751,..,799,..,936,..,1030,1163,1186,1192,1182,1297.6,1347,1433.3,1310.8,1208,1120.297,1060.9,1101.609,..
,,,Not elsewhere classified (Fields of Science),,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Private non-profit,All fields of science,,,,124,..,118,..,116,..,125,..,205,..,231,..,270,..,261,..,273,357,492,447,450,456,496,510,487,492.9,474.9,497.2,554.2,..
,,All fields of science,Natural sciences and engineering,,,71,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,Natural sciences and engineering,Natural Sciences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,,Engineering and technology,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,,Medical and Health sciences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,,Agricultural Sciences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,Social sciences and humanities,,,53,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,Social sciences and humanities,Social Siences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,,Humanities,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,Not elsewhere classified (Fields of Science),,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
data extracted on 17 Oct 2012 21:08 UTC (GMT) from OECD.Stat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legend:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a:,Break in series with previous year for which data is available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n:,Included elsewhere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o:,Includes other classes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
