#NAME?,"<?xml version=""1.0""?><WebTableParameter xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xmlns:xsd=""http://www.w3.org/2001/XMLSchema"" xmlns=""""><DataTable Code=""PERS_SCIENCE"" HasMetadata=""true""><Name LocaleIsoCode=""en"">R-D personnel by sector of employment and field of science</Name><Dimension Code=""SCIENCE""><Name LocaleIsoCode=""en"">Field of Sciences</Name><Member Code=""TOTAL_S""><Name LocaleIsoCode=""en"">All fields of science</Name><ChildMember Code=""NSE""><Name LocaleIsoCode=""en"">Natural sciences and engineering</Name><ChildMember Code=""NAT""><Name LocaleIsoCode=""en"">Natural Sciences</Name></ChildMember><ChildMember Code=""ENG""><Name LocaleIsoCode=""en"">Engineering and technology</Name></ChildMember><ChildMember Code=""MED""><Name LocaleIsoCode=""en"">Medical and Health sciences</Name></ChildMember><ChildMember Code=""AGR""><Name LocaleIsoCode=""en"">Agricultural Sciences</Name></ChildMember></ChildMember><ChildMember Code=""SSH""><Name LocaleIsoCode=""en"">Social sciences and humanities</Name><ChildMember Code=""SOC""><Name LocaleIsoCode=""en"">Social Siences</Name></ChildMember><ChildMember Code=""HUM""><Name LocaleIsoCode=""en"">Humanities</Name></ChildMember></ChildMember><ChildMember Code=""NEC""><Name LocaleIsoCode=""en"">Not elsewhere classified (Fields of Science)</Name></ChildMember></Member></Dimension><Dimension Code=""SECTOR""><Name LocaleIsoCode=""en"">Sector of employment</Name><Member Code=""TIM""><Name LocaleIsoCode=""en"">Total intramural</Name><ChildMember Code=""BE""><Name LocaleIsoCode=""en"">Business enterprise</Name></ChildMember><ChildMember Code=""GV""><Name LocaleIsoCode=""en"">Government</Name></ChildMember><ChildMember Code=""HE""><Name LocaleIsoCode=""en"">Higher education</Name></ChildMember><ChildMember Code=""PNP""><Name LocaleIsoCode=""en"">Private non-profit</Name></ChildMember></Member></Dimension><Dimension Code=""UNITS_PERS""><Name LocaleIsoCode=""en"">Units for Personnel</Name><Member Code=""FTE""><Name LocaleIsoCode=""en"">Full-time equivalent on R&amp;D activities</Name></Member><Member Code=""HC""><Name LocaleIsoCode=""en"">Headcount</Name></Member></Dimension><Dimension Code=""GENDER""><Name LocaleIsoCode=""en"">Gender</Name><Member Code=""TOT""><Name LocaleIsoCode=""en"">Total</Name><ChildMember Code=""WOM""><Name LocaleIsoCode=""en"">Women</Name></ChildMember></Member></Dimension><Dimension Code=""CRITERIA""><Name LocaleIsoCode=""en"">Occupation criteria</Name><Member Code=""TOTAL""><Name LocaleIsoCode=""en"">Total Personnel R&amp;D</Name></Member><Member Code=""RSE""><Name LocaleIsoCode=""en"">Researchers</Name></Member></Dimension><Dimension Code=""COU"" CommonCode=""LOCATION"" Display=""labels""><Name LocaleIsoCode=""en"">Country</Name><Member Code=""AUS"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Australia</Name></Member><Member Code=""AUT"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Austria</Name></Member><Member Code=""BEL"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Belgium</Name></Member><Member Code=""CAN"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Canada</Name></Member><Member Code=""CHL""><Name LocaleIsoCode=""en"">Chile</Name></Member><Member Code=""CZE"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Czech Republic</Name></Member><Member Code=""DNK"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Denmark</Name></Member><Member Code=""EST""><Name LocaleIsoCode=""en"">Estonia</Name></Member><Member Code=""FIN"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Finland</Name></Member><Member Code=""FRA"" HasMetadata=""true""><Name LocaleIsoCode=""en"">France</Name></Member><Member Code=""DEU"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Germany</Name></Member><Member Code=""GRC"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Greece</Name></Member><Member Code=""HUN"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Hungary</Name></Member><Member Code=""ISL""><Name LocaleIsoCode=""en"">Iceland</Name></Member><Member Code=""IRL"" HasMetadata=""true"" IsDisplayed=""true""><Name LocaleIsoCode=""en"">Ireland</Name></Member><Member Code=""ISR"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Israel</Name></Member><Member Code=""ITA"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Italy</Name></Member><Member Code=""JPN"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Japan</Name></Member><Member Code=""KOR"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Korea</Name></Member><Member Code=""LUX"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Luxembourg</Name></Member><Member Code=""MEX"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Mexico</Name></Member><Member Code=""NLD"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Netherlands</Name></Member><Member Code=""NZL"" HasMetadata=""true""><Name LocaleIsoCode=""en"">New Zealand</Name></Member><Member Code=""NOR"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Norway</Name></Member><Member Code=""POL"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Poland</Name></Member><Member Code=""PRT"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Portugal</Name></Member><Member Code=""SVK"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Slovak Republic</Name></Member><Member Code=""SVN"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Slovenia</Name></Member><Member Code=""ESP"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Spain</Name></Member><Member Code=""SWE"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Sweden</Name></Member><Member Code=""CHE"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Switzerland</Name></Member><Member Code=""TUR"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Turkey</Name></Member><Member Code=""GBR"" HasMetadata=""true""><Name LocaleIsoCode=""en"">United Kingdom</Name></Member><Member Code=""USA"" HasMetadata=""true""><Name LocaleIsoCode=""en"">United States</Name></Member><Member Code=""NMEC""><Name LocaleIsoCode=""en"">Non-OECD Member Economies</Name><ChildMember Code=""ARG"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Argentina</Name></ChildMember><ChildMember Code=""CHN"" HasMetadata=""true""><Name LocaleIsoCode=""en"">China</Name></ChildMember><ChildMember Code=""ROU"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Romania</Name></ChildMember><ChildMember Code=""RUS"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Russian Federation</Name></ChildMember><ChildMember Code=""SGP"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Singapore</Name></ChildMember><ChildMember Code=""ZAF"" HasMetadata=""true""><Name LocaleIsoCode=""en"">South Africa</Name></ChildMember><ChildMember Code=""TWN"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Chinese Taipei</Name></ChildMember></Member></Dimension><Dimension Code=""YEAR"" CommonCode=""TIME""><Name LocaleIsoCode=""en"">Year</Name><Member Code=""1981""><Name LocaleIsoCode=""en"">1981</Name></Member><Member Code=""1982""><Name LocaleIsoCode=""en"">1982</Name></Member><Member Code=""1983""><Name LocaleIsoCode=""en"">1983</Name></Member><Member Code=""1984""><Name LocaleIsoCode=""en"">1984</Name></Member><Member Code=""1985""><Name LocaleIsoCode=""en"">1985</Name></Member><Member Code=""1986""><Name LocaleIsoCode=""en"">1986</Name></Member><Member Code=""1987""><Name LocaleIsoCode=""en"">1987</Name></Member><Member Code=""1988""><Name LocaleIsoCode=""en"">1988</Name></Member><Member Code=""1989""><Name LocaleIsoCode=""en"">1989</Name></Member><Member Code=""1990""><Name LocaleIsoCode=""en"">1990</Name></Member><Member Code=""1991""><Name LocaleIsoCode=""en"">1991</Name></Member><Member Code=""1992""><Name LocaleIsoCode=""en"">1992</Name></Member><Member Code=""1993""><Name LocaleIsoCode=""en"">1993</Name></Member><Member Code=""1994""><Name LocaleIsoCode=""en"">1994</Name></Member><Member Code=""1995""><Name LocaleIsoCode=""en"">1995</Name></Member><Member Code=""1996""><Name LocaleIsoCode=""en"">1996</Name></Member><Member Code=""1997""><Name LocaleIsoCode=""en"">1997</Name></Member><Member Code=""1998""><Name LocaleIsoCode=""en"">1998</Name></Member><Member Code=""1999""><Name LocaleIsoCode=""en"">1999</Name></Member><Member Code=""2000""><Name LocaleIsoCode=""en"">2000</Name></Member><Member Code=""2001""><Name LocaleIsoCode=""en"">2001</Name></Member><Member Code=""2002""><Name LocaleIsoCode=""en"">2002</Name></Member><Member Code=""2003""><Name LocaleIsoCode=""en"">2003</Name></Member><Member Code=""2004""><Name LocaleIsoCode=""en"">2004</Name></Member><Member Code=""2005""><Name LocaleIsoCode=""en"">2005</Name></Member><Member Code=""2006""><Name LocaleIsoCode=""en"">2006</Name></Member><Member Code=""2007""><Name LocaleIsoCode=""en"">2007</Name></Member><Member Code=""2008""><Name LocaleIsoCode=""en"">2008</Name></Member><Member Code=""2009""><Name LocaleIsoCode=""en"">2009</Name></Member><Member Code=""2010""><Name LocaleIsoCode=""en"">2010</Name></Member></Dimension><WBOSInformations><TimeDimension WebTreeWasUsed=""false""><StartCodes Annual=""1981"" /></TimeDimension></WBOSInformations><Tabulation Axis=""horizontal""><Dimension Code=""YEAR"" CommonCode=""TIME"" /></Tabulation><Tabulation Axis=""vertical""><Dimension Code=""SECTOR"" /><Dimension Code=""SCIENCE"" /></Tabulation><Tabulation Axis=""page""><Dimension Code=""COU"" CommonCode=""LOCATION"" /><Dimension Code=""GENDER"" /><Dimension Code=""UNITS_PERS"" /><Dimension Code=""CRITERIA"" /></Tabulation><Formatting><Labels LocaleIsoCode=""en"" /><Power>0</Power><Decimals>-1</Decimals><SkipEmptyLines>false</SkipEmptyLines><FullyFillPage>false</FullyFillPage><SkipEmptyCols>false</SkipEmptyCols><SkipLineHierarchy>false</SkipLineHierarchy><SkipColHierarchy>false</SkipColHierarchy><Page>1</Page></Formatting></DataTable><Format><ShowEmptyAxes>true</ShowEmptyAxes><Page>1</Page><EnableSort>true</EnableSort><IncludeFlagColumn>false</IncludeFlagColumn><DoBarChart>false</DoBarChart><MaxBarChartLen>65</MaxBarChartLen></Format><Query><AbsoluteUri>http://stats.oecd.org//View.aspx?QueryId=&amp;QueryType=Public&amp;Lang=en</AbsoluteUri></Query></WebTableParameter>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset: R-D personnel by sector of employment and field of science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,,,,,,Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gender,,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units for Personnel,,,,,,Full-time equivalent on R&D activities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Occupation criteria,,,,,,Total Personnel R&D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,,,,,,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Sector of employment,,Field of Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total intramural,,All fields of science,,,,4953,4960,5050,5230,5341,5448.5,5704.1,5827,6327.9,6846.1,8001.6,8487.8,7836.822,8654.335,9661.705,9998.775,10825.978,11613.181,11929,12762,13317,..,14450,15713,16690,17507,18212,20119.8,20331.1,20242
,,All fields of science,Natural sciences and engineering,,,4418,4412,4485,4649,4782,4904.3,5089,5270,5719.9,6171,7145.9,7624.8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,Natural sciences and engineering,Natural Sciences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,,Engineering and technology,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,,Medical and Health sciences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,,Agricultural Sciences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,Social sciences and humanities,,,535,549,564,581,559,544,615,557,677,796.1,887.7,952,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,Social sciences and humanities,Social Siences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,,Humanities,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,Not elsewhere classified (Fields of Science),,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Total intramural,Business enterprise,All fields of science,,,,1468,1549,1624,1805,2102.1,2407.3,2561,2715,2872,3031,3971,4235,4499,5325,6151,6325,6970,7645,8321,8724,9126,..,9280,9650,10338,10647,10956,11755,11959,12194
,,All fields of science,Natural sciences and engineering,,,1458,1540,1615,1796,2102,2407.3,2561,2715,2872,3031,3971,4235,4499,5325,6151,6325,6970,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,Natural sciences and engineering,Natural Sciences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,,Engineering and technology,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,,Medical and Health sciences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,,Agricultural Sciences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,Social sciences and humanities,,,9,10,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,Social sciences and humanities,Social Siences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,,Humanities,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,Not elsewhere classified (Fields of Science),,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Government,All fields of science,,,,2377,2214,2126,1993,1855,1716,1396,1079,1038,1013,1004,927,927,942,959,945,938,941,884,1436,1300,1200,1161,1222,1132,1248,1256,1223.8,1053.1,987
,,All fields of science,Natural sciences and engineering,,,2101,1943,1849,1715,1597,1478,1193,908,931.6,954.3,829,813,..,..,..,..,..,..,..,..,..,1020,985,1022,942,1026,1030,991.5,927.58,862.5
,,,Natural sciences and engineering,Natural Sciences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,140,131,229,246,263,265,146.4,92.45,134
,,,,Engineering and technology,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2,2,85,17,61,63,40.05,32.91,22.8
,,,,Medical and Health sciences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,50,40,55,23,32,32,51.8,57,52
,,,,Agricultural Sciences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,828,812,653,656,670,670,753.25,745.22,653.7
,,,Social sciences and humanities,,,276,271,277,278,258,238,203,171,175.4,179.7,207,203,..,..,..,..,..,..,..,..,..,180,176,200,190,222,226,232.3,125.52,124.5
,,,Social sciences and humanities,Social Siences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,176,172,199,189,216,220,232.3,125.5,124.5
,,,,Humanities,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4,4,1,1,6,6,0,0,0
,,,Not elsewhere classified (Fields of Science),,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Higher education,All fields of science,,,,1056,1120,1210,1326,1258,1179,1573,1831,2190,2549,2744,3010,2150,2127,2292,2469,2658,2847,2724,2602,2891,3178,4009,4841,5220,5612,6000,7141,7319,7061
,,All fields of science,Natural sciences and engineering,,,833,892,977,1086,1021,948,1250,1548,1804.6,2061.7,2204.9,2418.8,..,..,..,..,..,..,..,1706,1939.5,2198,2770,3498,3690,3987,..,5145,5273.99,..
,,,Natural sciences and engineering,Natural Sciences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,879,1051.5,1224,1400,1676,1600,1546,..,2167,2221.99,..
,,,,Engineering and technology,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,542,564,587,680,784,1000,1288,..,1378,1412,..
,,,,Medical and Health sciences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,218,249,312,600,935,980,1010,..,1395,1430,..
,,,,Agricultural Sciences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,67,75,75,90,103,110,143,..,205,210,..
,,,Social sciences and humanities,,,224,228,232,240,237,231,323,283,385.3,487.4,538.7,591,..,..,..,..,..,..,..,895,950,980,1239,1343,1380,1429,..,1996,2045,..
,,,Social sciences and humanities,Social Siences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,552,597.5,620,740,875,900,905,..,1319,1351,..
,,,,Humanities,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,343,352.5,360,499,468,480,524,..,677,694,..
,,,Not elsewhere classified (Fields of Science),,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,150,196,..,0,0.01,..
,Private non-profit,All fields of science,,,,52,77,90,106,126,146.2,174,202,228,253,283,316,260,260,260,260,260,180,..,..,..,..,..,..,..,..,..,..,..,..
,,All fields of science,Natural sciences and engineering,,,26,37,44,52,62,71,85,99,111.7,124,141,158,130,130,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,Natural sciences and engineering,Natural Sciences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,,Engineering and technology,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,,Medical and Health sciences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,,Agricultural Sciences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,Social sciences and humanities,,,26,40,46,54,64,75,89,103,116.3,129,142,158,130,130,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,Social sciences and humanities,Social Siences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,,Humanities,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,Not elsewhere classified (Fields of Science),,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
data extracted on 18 Oct 2012 00:03 UTC (GMT) from OECD.Stat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legend:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a:,Break in series with previous year for which data is available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c:,National estimate or projection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m:,Underestimated or based on underestimated data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p:,Provisional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:,Unrevised breakdown not adding to the revised total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
