#NAME?,"<?xml version=""1.0""?><WebTableParameter xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xmlns:xsd=""http://www.w3.org/2001/XMLSchema"" xmlns=""""><DataTable Code=""PERS_SCIENCE"" HasMetadata=""true""><Name LocaleIsoCode=""en"">R-D personnel by sector of employment and field of science</Name><Dimension Code=""SCIENCE""><Name LocaleIsoCode=""en"">Field of Sciences</Name><Member Code=""TOTAL_S""><Name LocaleIsoCode=""en"">All fields of science</Name><ChildMember Code=""NSE""><Name LocaleIsoCode=""en"">Natural sciences and engineering</Name><ChildMember Code=""NAT""><Name LocaleIsoCode=""en"">Natural Sciences</Name></ChildMember><ChildMember Code=""ENG""><Name LocaleIsoCode=""en"">Engineering and technology</Name></ChildMember><ChildMember Code=""MED""><Name LocaleIsoCode=""en"">Medical and Health sciences</Name></ChildMember><ChildMember Code=""AGR""><Name LocaleIsoCode=""en"">Agricultural Sciences</Name></ChildMember></ChildMember><ChildMember Code=""SSH""><Name LocaleIsoCode=""en"">Social sciences and humanities</Name><ChildMember Code=""SOC""><Name LocaleIsoCode=""en"">Social Siences</Name></ChildMember><ChildMember Code=""HUM""><Name LocaleIsoCode=""en"">Humanities</Name></ChildMember></ChildMember><ChildMember Code=""NEC""><Name LocaleIsoCode=""en"">Not elsewhere classified (Fields of Science)</Name></ChildMember></Member></Dimension><Dimension Code=""SECTOR""><Name LocaleIsoCode=""en"">Sector of employment</Name><Member Code=""TIM""><Name LocaleIsoCode=""en"">Total intramural</Name><ChildMember Code=""BE""><Name LocaleIsoCode=""en"">Business enterprise</Name></ChildMember><ChildMember Code=""GV""><Name LocaleIsoCode=""en"">Government</Name></ChildMember><ChildMember Code=""HE""><Name LocaleIsoCode=""en"">Higher education</Name></ChildMember><ChildMember Code=""PNP""><Name LocaleIsoCode=""en"">Private non-profit</Name></ChildMember></Member></Dimension><Dimension Code=""UNITS_PERS""><Name LocaleIsoCode=""en"">Units for Personnel</Name><Member Code=""FTE""><Name LocaleIsoCode=""en"">Full-time equivalent on R&amp;D activities</Name></Member><Member Code=""HC""><Name LocaleIsoCode=""en"">Headcount</Name></Member></Dimension><Dimension Code=""GENDER""><Name LocaleIsoCode=""en"">Gender</Name><Member Code=""TOT""><Name LocaleIsoCode=""en"">Total</Name><ChildMember Code=""WOM""><Name LocaleIsoCode=""en"">Women</Name></ChildMember></Member></Dimension><Dimension Code=""CRITERIA""><Name LocaleIsoCode=""en"">Occupation criteria</Name><Member Code=""TOTAL""><Name LocaleIsoCode=""en"">Total Personnel R&amp;D</Name></Member><Member Code=""RSE""><Name LocaleIsoCode=""en"">Researchers</Name></Member></Dimension><Dimension Code=""COU"" CommonCode=""LOCATION"" Display=""labels""><Name LocaleIsoCode=""en"">Country</Name><Member Code=""AUS"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Australia</Name></Member><Member Code=""AUT"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Austria</Name></Member><Member Code=""BEL"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Belgium</Name></Member><Member Code=""CAN"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Canada</Name></Member><Member Code=""CHL""><Name LocaleIsoCode=""en"">Chile</Name></Member><Member Code=""CZE"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Czech Republic</Name></Member><Member Code=""DNK"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Denmark</Name></Member><Member Code=""EST""><Name LocaleIsoCode=""en"">Estonia</Name></Member><Member Code=""FIN"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Finland</Name></Member><Member Code=""FRA"" HasMetadata=""true""><Name LocaleIsoCode=""en"">France</Name></Member><Member Code=""DEU"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Germany</Name></Member><Member Code=""GRC"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Greece</Name></Member><Member Code=""HUN"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Hungary</Name></Member><Member Code=""ISL""><Name LocaleIsoCode=""en"">Iceland</Name></Member><Member Code=""IRL"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Ireland</Name></Member><Member Code=""ISR"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Israel</Name></Member><Member Code=""ITA"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Italy</Name></Member><Member Code=""JPN"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Japan</Name></Member><Member Code=""KOR"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Korea</Name></Member><Member Code=""LUX"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Luxembourg</Name></Member><Member Code=""MEX"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Mexico</Name></Member><Member Code=""NLD"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Netherlands</Name></Member><Member Code=""NZL"" HasMetadata=""true""><Name LocaleIsoCode=""en"">New Zealand</Name></Member><Member Code=""NOR"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Norway</Name></Member><Member Code=""POL"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Poland</Name></Member><Member Code=""PRT"" HasMetadata=""true"" IsDisplayed=""true""><Name LocaleIsoCode=""en"">Portugal</Name></Member><Member Code=""SVK"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Slovak Republic</Name></Member><Member Code=""SVN"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Slovenia</Name></Member><Member Code=""ESP"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Spain</Name></Member><Member Code=""SWE"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Sweden</Name></Member><Member Code=""CHE"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Switzerland</Name></Member><Member Code=""TUR"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Turkey</Name></Member><Member Code=""GBR"" HasMetadata=""true""><Name LocaleIsoCode=""en"">United Kingdom</Name></Member><Member Code=""USA"" HasMetadata=""true""><Name LocaleIsoCode=""en"">United States</Name></Member><Member Code=""NMEC""><Name LocaleIsoCode=""en"">Non-OECD Member Economies</Name><ChildMember Code=""ARG"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Argentina</Name></ChildMember><ChildMember Code=""CHN"" HasMetadata=""true""><Name LocaleIsoCode=""en"">China</Name></ChildMember><ChildMember Code=""ROU"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Romania</Name></ChildMember><ChildMember Code=""RUS"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Russian Federation</Name></ChildMember><ChildMember Code=""SGP"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Singapore</Name></ChildMember><ChildMember Code=""ZAF"" HasMetadata=""true""><Name LocaleIsoCode=""en"">South Africa</Name></ChildMember><ChildMember Code=""TWN"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Chinese Taipei</Name></ChildMember></Member></Dimension><Dimension Code=""YEAR"" CommonCode=""TIME""><Name LocaleIsoCode=""en"">Year</Name><Member Code=""1981""><Name LocaleIsoCode=""en"">1981</Name></Member><Member Code=""1982""><Name LocaleIsoCode=""en"">1982</Name></Member><Member Code=""1983""><Name LocaleIsoCode=""en"">1983</Name></Member><Member Code=""1984""><Name LocaleIsoCode=""en"">1984</Name></Member><Member Code=""1985""><Name LocaleIsoCode=""en"">1985</Name></Member><Member Code=""1986""><Name LocaleIsoCode=""en"">1986</Name></Member><Member Code=""1987""><Name LocaleIsoCode=""en"">1987</Name></Member><Member Code=""1988""><Name LocaleIsoCode=""en"">1988</Name></Member><Member Code=""1989""><Name LocaleIsoCode=""en"">1989</Name></Member><Member Code=""1990""><Name LocaleIsoCode=""en"">1990</Name></Member><Member Code=""1991""><Name LocaleIsoCode=""en"">1991</Name></Member><Member Code=""1992""><Name LocaleIsoCode=""en"">1992</Name></Member><Member Code=""1993""><Name LocaleIsoCode=""en"">1993</Name></Member><Member Code=""1994""><Name LocaleIsoCode=""en"">1994</Name></Member><Member Code=""1995""><Name LocaleIsoCode=""en"">1995</Name></Member><Member Code=""1996""><Name LocaleIsoCode=""en"">1996</Name></Member><Member Code=""1997""><Name LocaleIsoCode=""en"">1997</Name></Member><Member Code=""1998""><Name LocaleIsoCode=""en"">1998</Name></Member><Member Code=""1999""><Name LocaleIsoCode=""en"">1999</Name></Member><Member Code=""2000""><Name LocaleIsoCode=""en"">2000</Name></Member><Member Code=""2001""><Name LocaleIsoCode=""en"">2001</Name></Member><Member Code=""2002""><Name LocaleIsoCode=""en"">2002</Name></Member><Member Code=""2003""><Name LocaleIsoCode=""en"">2003</Name></Member><Member Code=""2004""><Name LocaleIsoCode=""en"">2004</Name></Member><Member Code=""2005""><Name LocaleIsoCode=""en"">2005</Name></Member><Member Code=""2006""><Name LocaleIsoCode=""en"">2006</Name></Member><Member Code=""2007""><Name LocaleIsoCode=""en"">2007</Name></Member><Member Code=""2008""><Name LocaleIsoCode=""en"">2008</Name></Member><Member Code=""2009""><Name LocaleIsoCode=""en"">2009</Name></Member><Member Code=""2010""><Name LocaleIsoCode=""en"">2010</Name></Member></Dimension><WBOSInformations><TimeDimension WebTreeWasUsed=""false""><StartCodes Annual=""1981"" /></TimeDimension></WBOSInformations><Tabulation Axis=""horizontal""><Dimension Code=""YEAR"" CommonCode=""TIME"" /></Tabulation><Tabulation Axis=""vertical""><Dimension Code=""SECTOR"" /><Dimension Code=""SCIENCE"" /></Tabulation><Tabulation Axis=""page""><Dimension Code=""COU"" CommonCode=""LOCATION"" /><Dimension Code=""GENDER"" /><Dimension Code=""UNITS_PERS"" /><Dimension Code=""CRITERIA"" /></Tabulation><Formatting><Labels LocaleIsoCode=""en"" /><Power>0</Power><Decimals>-1</Decimals><SkipEmptyLines>false</SkipEmptyLines><FullyFillPage>false</FullyFillPage><SkipEmptyCols>false</SkipEmptyCols><SkipLineHierarchy>false</SkipLineHierarchy><SkipColHierarchy>false</SkipColHierarchy><Page>1</Page></Formatting></DataTable><Format><ShowEmptyAxes>true</ShowEmptyAxes><Page>1</Page><EnableSort>true</EnableSort><IncludeFlagColumn>false</IncludeFlagColumn><DoBarChart>false</DoBarChart><MaxBarChartLen>65</MaxBarChartLen></Format><Query><AbsoluteUri>http://stats.oecd.org//View.aspx?QueryId=&amp;QueryType=Public&amp;Lang=en</AbsoluteUri></Query></WebTableParameter>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset: R-D personnel by sector of employment and field of science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,,,,,,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gender,,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units for Personnel,,,,,,Full-time equivalent on R&D activities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Occupation criteria,,,,,,Total Personnel R&D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,,,,,,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Sector of employment,,Field of Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total intramural,,All fields of science,,,,..,8552.5,8910,9267.5,9918.85,10570.2,10726.8,10883.4,11463,12042.6,12745.5,13448.4,14047.401,14715.824,15465.3,16750.048,18034.796,19420.246,20805.695,21887.661,22969.627,..,25529.41,25628.607,25727.803,30530.677,35333.55,47881.763,51347.321,..
,,All fields of science,Natural sciences and engineering,,,..,7425.9,7801.05,8176.2,8724.3,9272.4,9432.1,9591.8,9979.85,10367.9,10907.6,11447.3,11979.133,12574.153,13378.9,..,..,..,..,14102.345,14623.842,..,..,..,19397.979,23970.838,28543.696,36022.649,37707.47,..
,,,Natural sciences and engineering,Natural Sciences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5677.932,6067.811,..,..,..,6632.327,8104.347,9576.368,13944,13716.916,..
,,,,Engineering and technology,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3866.079,3987.732,..,..,..,8260.772,10992.961,13725.15,14410.487,15844.256,..
,,,,Medical and Health sciences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1935.04,2089.629,..,..,..,2184.401,2585.553,2986.705,5574.421,6162.142,..
,,,,Agricultural Sciences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2623.295,2478.67,..,..,..,2320.479,2287.976,2255.474,2093.741,1984.156,..
,,,Social sciences and humanities,,,..,1126.6,1108.95,1091.3,1194.55,1297.8,1294.7,1291.6,1483.15,1674.7,1837.9,2001.1,2068.268,2141.672,2086.4,..,..,..,..,4193.825,4470.918,..,..,..,4959.828,5874.841,6789.854,11859.114,13639.851,..
,,,Social sciences and humanities,Social Siences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3028.599,3241.172,..,..,..,3203.511,3882.6,4561.689,7977.936,9019.596,..
,,,,Humanities,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1165.226,1229.746,..,..,..,1756.317,1992.241,2228.165,3881.178,4620.255,..
,,,Not elsewhere classified (Fields of Science),,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3591.491,3874.867,..,..,..,1369.995,684.997,0,0,..,..
Total intramural,Business enterprise,All fields of science,,,,..,1891.1,1727.55,1564,1789.55,2015.1,2028.45,2041.8,2019.2,1996.6,1939.15,1881.7,1893.295,1904.962,1916.7,1948.673,1980.646,2620.376,3260.105,3567.486,3874.867,..,6123.66,6128.554,6133.447,9458.898,12784.35,14509.66,13921.61,..
,,All fields of science,Natural sciences and engineering,,,..,1891.1,1727.55,1564,1789.55,2015.1,2028.45,2041.8,2019.2,1996.6,1939.15,1881.7,1893.295,1904.962,1916.7,1948.673,1980.646,2620.376,..,..,..,..,..,..,4519.086,8193.378,11867.67,13710.917,13096.673,..
,,,Natural sciences and engineering,Natural Sciences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,610.777,1601.603,2592.43,5086.338,4059.227,..
,,,,Engineering and technology,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3484.225,5974.375,8464.525,7793.828,8074.522,..
,,,,Medical and Health sciences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,235.363,389.737,544.112,613.62,651.99,..
,,,,Agricultural Sciences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,188.722,227.663,266.603,217.131,310.933,..
,,,Social sciences and humanities,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,244.366,580.523,916.68,798.743,824.937,..
,,,Social sciences and humanities,Social Siences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,198.612,534.792,870.972,717.035,711.928,..
,,,,Humanities,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,45.754,45.731,45.708,81.707,113.009,..
,,,Not elsewhere classified (Fields of Science),,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3567.486,3874.867,..,..,..,1369.995,684.997,0,0,0,..
,Government,All fields of science,,,,..,4053.7,4298.55,4543.4,4449,4354.6,4234.4,4114.2,4172.05,4229.9,4092.7,3955.5,4194.146,4447.189,4715.5,4972.525,5229.55,5565.695,5901.84,5936.19,5970.54,5443.75,4916.96,4725.082,4533.205,4528.275,4523.345,4582.388,3873.864,..
,,All fields of science,Natural sciences and engineering,,,..,3362.8,3697.5,4032.2,3926.15,3820.1,3785.65,3751.2,3745.1,3739,3619.75,3500.5,3711.694,3935.631,4329,..,..,..,5193.787,5131.63,5069.474,4662.247,4255.019,4054.096,3853.172,3806.879,3760.585,3817.548,3211.613,..
,,,Natural sciences and engineering,Natural Sciences,,..,670,703.95,737.9,885.9,1033.9,931.9,829.9,811.95,794,774.15,754.3,799.809,848.063,790,..,..,..,1605.161,1617.572,1629.983,1468.993,1308.003,1150.231,992.459,994.409,996.358,1207.623,1035.56,..
,,,,Engineering and technology,,..,873.9,1000.55,1127.2,993.25,859.3,938.95,1018.6,971.4,924.2,885.7,847.2,898.314,952.511,1176.2,..,..,..,912.136,896.109,880.082,824.952,769.822,825.983,882.144,911.13,940.116,815.666,692.983,..
,,,,Medical and Health sciences,,..,465.4,423.7,382,263.95,145.9,182.2,218.5,246.8,275.1,283.2,291.3,308.875,327.51,506.9,..,..,..,657.905,731.243,804.581,723.861,643.141,626.013,608.885,591.084,573.284,795.14,730.684,..
,,,,Agricultural Sciences,,..,1353.5,1569.3,1785.1,1783.05,1781,1732.6,1684.2,1714.95,1745.7,1680.2,1614.7,1712.119,1815.416,1855.9,..,..,..,2018.585,1886.707,1754.829,1644.441,1534.054,1451.869,1369.684,1310.256,1250.827,999.119,752.386,..
,,,Social sciences and humanities,,,..,690.9,601.05,511.2,522.85,534.5,448.75,363,426.95,490.9,472.95,455,482.451,511.559,386.5,..,..,..,706.154,803.61,901.066,781.503,661.941,670.986,680.032,721.396,762.76,764.84,662.251,..
,,,Social sciences and humanities,Social Siences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,501.965,559.448,616.931,549.852,462.825,467.921,473.017,488.01,503.004,391.792,293.596,..
,,,,Humanities,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,204.189,244.162,284.135,231.651,199.116,203.065,207.015,233.386,259.756,373.048,368.655,..
,,,Not elsewhere classified (Fields of Science),,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.9,0.95,..,..,..,..,..,..,0,0,0,..
,Higher education,All fields of science,,,,..,2329.8,2564.45,2799.1,3299.1,3799.1,3990.75,4182.4,4511.25,4840.1,5544.4,6248.7,6326.234,6404.73,6484.2,7463.05,8441.9,8814.385,9186.87,9679.9,10172.93,10659.92,11146.91,11413.657,11680.403,12853.787,14027.17,24411.527,29215.983,..
,,All fields of science,Natural sciences and engineering,,,..,1944,2127.4,2310.8,2680.25,3049.7,3189.8,3329.9,3530.75,3731.6,4272.1,4812.6,4872.315,4932.771,4983.7,..,..,..,6368.498,6720.96,7073.422,7304.919,7536.416,7868.269,8200.122,8922.343,9644.563,14966.314,17845.612,..
,,,Natural sciences and engineering,Natural Sciences,,..,994.3,1016.3,1038.3,1211.45,1384.6,1440.7,1496.8,1622.75,1748.7,1995.6,2242.5,2270.325,2298.495,2259,..,..,..,3021.837,3254.595,3487.353,3551.525,3615.698,3744.473,3873.249,4214.476,4555.703,6104.102,7158.46,..
,,,,Engineering and technology,,..,256.4,342.5,428.6,515,601.4,700.4,799.4,819.9,840.4,1037.3,1234.2,1249.514,1265.018,1434.5,..,..,..,1807.543,1926.169,2044.795,2160.882,2276.969,2492.989,2709.009,2881.801,3054.593,4496.992,5850.878,..
,,,,Medical and Health sciences,,..,494.6,569.9,645.2,690.6,736,685.5,635,680.4,725.8,793.75,861.7,872.392,883.217,699.8,..,..,..,824.757,858.685,892.614,895.689,898.764,895.035,891.307,1121.012,1350.717,3532.147,3951.318,..
,,,,Agricultural Sciences,,..,198.7,198.7,198.7,263.2,327.7,363.2,398.7,407.7,416.7,445.45,474.2,480.084,486.041,590.5,..,..,..,714.361,681.51,648.659,696.822,744.985,735.771,726.557,705.054,683.55,833.072,884.956,..
,,,Social sciences and humanities,,,..,385.8,437.05,488.3,618.85,749.4,800.95,852.5,980.5,1108.5,1272.3,1436.1,1453.919,1471.959,1500.5,..,..,..,2779.502,2939.505,3099.508,3355.001,3610.494,3545.387,3480.281,3931.444,4382.607,9445.213,11370.371,..
,,,Social sciences and humanities,Social Siences,,..,238,..,394,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1945.445,2079.793,2214.142,2402.605,2228.985,2155.739,2082.493,2340.119,2597.745,6188.424,7337.142,..
,,,,Humanities,,..,121,..,79,..,..,..,..,..,..,..,..,..,..,..,..,..,..,834.057,859.711,885.366,952.396,1381.51,1389.649,1397.788,1591.325,1784.862,3256.789,4033.23,..
,,,Not elsewhere classified (Fields of Science),,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,38.87,19.435,..,..,..,..,..,..,..,0,..,..
,Private non-profit,All fields of science,,,,..,277.9,319.45,361,381.2,401.4,473.2,545,760.5,976,1169.25,1362.5,1633.726,1958.943,2348.9,2365.8,2382.7,2419.79,2456.88,2704.085,2951.29,3146.585,3341.88,3361.314,3380.748,3689.717,3998.685,4378.188,4335.864,..
,,All fields of science,Natural sciences and engineering,,,..,228,248.6,269.2,328.35,387.5,428.2,468.9,684.8,900.7,1076.6,1252.5,1501.829,1800.79,2149.5,..,..,..,2018.563,2249.755,2480.946,2599.836,2718.725,2772.162,2825.599,3048.238,3270.878,3527.87,3553.572,..
,,,Natural sciences and engineering,Natural Sciences,,..,130.5,109.6,88.7,94,99.3,104.5,109.7,164.1,218.5,233.8,249.1,298.687,358.145,350.9,..,..,..,661.054,805.765,950.475,1100.386,1250.298,1203.07,1155.842,1293.859,1431.876,1545.937,1463.669,..
,,,,Engineering and technology,,..,92.5,128.85,165.2,212.8,260.4,303.35,346.3,491.3,636.3,742.75,849.2,1018.246,1220.943,1435.2,..,..,..,1024.746,1043.801,1062.855,1026.777,990.7,1088.047,1185.394,1225.655,1265.916,1304,1225.873,..
,,,,Medical and Health sciences,,..,4.6,0,0,0,21.8,15.9,10,22.05,34.1,73.8,113.5,136.094,163.185,223.9,..,..,..,297.789,345.111,392.434,415.983,439.533,444.19,448.847,483.719,518.592,633.514,828.15,..
,,,,Agricultural Sciences,,..,0.4,7.85,15.3,10.65,6,4.45,2.9,7.35,11.8,26.25,40.7,48.802,58.517,139.5,..,..,..,34.974,55.078,75.183,56.689,38.195,36.855,35.515,45.004,54.493,44.419,35.881,..
