#NAME?,"<?xml version=""1.0""?><WebTableParameter xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xmlns:xsd=""http://www.w3.org/2001/XMLSchema"" xmlns=""""><DataTable Code=""PERS_SCIENCE"" HasMetadata=""true""><Name LocaleIsoCode=""en"">R-D personnel by sector of employment and field of science</Name><Dimension Code=""SCIENCE""><Name LocaleIsoCode=""en"">Field of Sciences</Name><Member Code=""TOTAL_S""><Name LocaleIsoCode=""en"">All fields of science</Name><ChildMember Code=""NSE""><Name LocaleIsoCode=""en"">Natural sciences and engineering</Name><ChildMember Code=""NAT""><Name LocaleIsoCode=""en"">Natural Sciences</Name></ChildMember><ChildMember Code=""ENG""><Name LocaleIsoCode=""en"">Engineering and technology</Name></ChildMember><ChildMember Code=""MED""><Name LocaleIsoCode=""en"">Medical and Health sciences</Name></ChildMember><ChildMember Code=""AGR""><Name LocaleIsoCode=""en"">Agricultural Sciences</Name></ChildMember></ChildMember><ChildMember Code=""SSH""><Name LocaleIsoCode=""en"">Social sciences and humanities</Name><ChildMember Code=""SOC""><Name LocaleIsoCode=""en"">Social Siences</Name></ChildMember><ChildMember Code=""HUM""><Name LocaleIsoCode=""en"">Humanities</Name></ChildMember></ChildMember><ChildMember Code=""NEC""><Name LocaleIsoCode=""en"">Not elsewhere classified (Fields of Science)</Name></ChildMember></Member></Dimension><Dimension Code=""SECTOR""><Name LocaleIsoCode=""en"">Sector of employment</Name><Member Code=""TIM""><Name LocaleIsoCode=""en"">Total intramural</Name><ChildMember Code=""BE""><Name LocaleIsoCode=""en"">Business enterprise</Name></ChildMember><ChildMember Code=""GV""><Name LocaleIsoCode=""en"">Government</Name></ChildMember><ChildMember Code=""HE""><Name LocaleIsoCode=""en"">Higher education</Name></ChildMember><ChildMember Code=""PNP""><Name LocaleIsoCode=""en"">Private non-profit</Name></ChildMember></Member></Dimension><Dimension Code=""UNITS_PERS""><Name LocaleIsoCode=""en"">Units for Personnel</Name><Member Code=""FTE""><Name LocaleIsoCode=""en"">Full-time equivalent on R&amp;D activities</Name></Member><Member Code=""HC""><Name LocaleIsoCode=""en"">Headcount</Name></Member></Dimension><Dimension Code=""GENDER""><Name LocaleIsoCode=""en"">Gender</Name><Member Code=""TOT""><Name LocaleIsoCode=""en"">Total</Name><ChildMember Code=""WOM""><Name LocaleIsoCode=""en"">Women</Name></ChildMember></Member></Dimension><Dimension Code=""CRITERIA""><Name LocaleIsoCode=""en"">Occupation criteria</Name><Member Code=""TOTAL""><Name LocaleIsoCode=""en"">Total Personnel R&amp;D</Name></Member><Member Code=""RSE""><Name LocaleIsoCode=""en"">Researchers</Name></Member></Dimension><Dimension Code=""COU"" CommonCode=""LOCATION"" Display=""labels""><Name LocaleIsoCode=""en"">Country</Name><Member Code=""AUS"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Australia</Name></Member><Member Code=""AUT"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Austria</Name></Member><Member Code=""BEL"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Belgium</Name></Member><Member Code=""CAN"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Canada</Name></Member><Member Code=""CHL""><Name LocaleIsoCode=""en"">Chile</Name></Member><Member Code=""CZE"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Czech Republic</Name></Member><Member Code=""DNK"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Denmark</Name></Member><Member Code=""EST""><Name LocaleIsoCode=""en"">Estonia</Name></Member><Member Code=""FIN"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Finland</Name></Member><Member Code=""FRA"" HasMetadata=""true""><Name LocaleIsoCode=""en"">France</Name></Member><Member Code=""DEU"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Germany</Name></Member><Member Code=""GRC"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Greece</Name></Member><Member Code=""HUN"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Hungary</Name></Member><Member Code=""ISL""><Name LocaleIsoCode=""en"">Iceland</Name></Member><Member Code=""IRL"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Ireland</Name></Member><Member Code=""ISR"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Israel</Name></Member><Member Code=""ITA"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Italy</Name></Member><Member Code=""JPN"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Japan</Name></Member><Member Code=""KOR"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Korea</Name></Member><Member Code=""LUX"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Luxembourg</Name></Member><Member Code=""MEX"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Mexico</Name></Member><Member Code=""NLD"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Netherlands</Name></Member><Member Code=""NZL"" HasMetadata=""true""><Name LocaleIsoCode=""en"">New Zealand</Name></Member><Member Code=""NOR"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Norway</Name></Member><Member Code=""POL"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Poland</Name></Member><Member Code=""PRT"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Portugal</Name></Member><Member Code=""SVK"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Slovak Republic</Name></Member><Member Code=""SVN"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Slovenia</Name></Member><Member Code=""ESP"" HasMetadata=""true"" IsDisplayed=""true""><Name LocaleIsoCode=""en"">Spain</Name></Member><Member Code=""SWE"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Sweden</Name></Member><Member Code=""CHE"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Switzerland</Name></Member><Member Code=""TUR"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Turkey</Name></Member><Member Code=""GBR"" HasMetadata=""true""><Name LocaleIsoCode=""en"">United Kingdom</Name></Member><Member Code=""USA"" HasMetadata=""true""><Name LocaleIsoCode=""en"">United States</Name></Member><Member Code=""NMEC""><Name LocaleIsoCode=""en"">Non-OECD Member Economies</Name><ChildMember Code=""ARG"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Argentina</Name></ChildMember><ChildMember Code=""CHN"" HasMetadata=""true""><Name LocaleIsoCode=""en"">China</Name></ChildMember><ChildMember Code=""ROU"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Romania</Name></ChildMember><ChildMember Code=""RUS"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Russian Federation</Name></ChildMember><ChildMember Code=""SGP"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Singapore</Name></ChildMember><ChildMember Code=""ZAF"" HasMetadata=""true""><Name LocaleIsoCode=""en"">South Africa</Name></ChildMember><ChildMember Code=""TWN"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Chinese Taipei</Name></ChildMember></Member></Dimension><Dimension Code=""YEAR"" CommonCode=""TIME""><Name LocaleIsoCode=""en"">Year</Name><Member Code=""1981""><Name LocaleIsoCode=""en"">1981</Name></Member><Member Code=""1982""><Name LocaleIsoCode=""en"">1982</Name></Member><Member Code=""1983""><Name LocaleIsoCode=""en"">1983</Name></Member><Member Code=""1984""><Name LocaleIsoCode=""en"">1984</Name></Member><Member Code=""1985""><Name LocaleIsoCode=""en"">1985</Name></Member><Member Code=""1986""><Name LocaleIsoCode=""en"">1986</Name></Member><Member Code=""1987""><Name LocaleIsoCode=""en"">1987</Name></Member><Member Code=""1988""><Name LocaleIsoCode=""en"">1988</Name></Member><Member Code=""1989""><Name LocaleIsoCode=""en"">1989</Name></Member><Member Code=""1990""><Name LocaleIsoCode=""en"">1990</Name></Member><Member Code=""1991""><Name LocaleIsoCode=""en"">1991</Name></Member><Member Code=""1992""><Name LocaleIsoCode=""en"">1992</Name></Member><Member Code=""1993""><Name LocaleIsoCode=""en"">1993</Name></Member><Member Code=""1994""><Name LocaleIsoCode=""en"">1994</Name></Member><Member Code=""1995""><Name LocaleIsoCode=""en"">1995</Name></Member><Member Code=""1996""><Name LocaleIsoCode=""en"">1996</Name></Member><Member Code=""1997""><Name LocaleIsoCode=""en"">1997</Name></Member><Member Code=""1998""><Name LocaleIsoCode=""en"">1998</Name></Member><Member Code=""1999""><Name LocaleIsoCode=""en"">1999</Name></Member><Member Code=""2000""><Name LocaleIsoCode=""en"">2000</Name></Member><Member Code=""2001""><Name LocaleIsoCode=""en"">2001</Name></Member><Member Code=""2002""><Name LocaleIsoCode=""en"">2002</Name></Member><Member Code=""2003""><Name LocaleIsoCode=""en"">2003</Name></Member><Member Code=""2004""><Name LocaleIsoCode=""en"">2004</Name></Member><Member Code=""2005""><Name LocaleIsoCode=""en"">2005</Name></Member><Member Code=""2006""><Name LocaleIsoCode=""en"">2006</Name></Member><Member Code=""2007""><Name LocaleIsoCode=""en"">2007</Name></Member><Member Code=""2008""><Name LocaleIsoCode=""en"">2008</Name></Member><Member Code=""2009""><Name LocaleIsoCode=""en"">2009</Name></Member><Member Code=""2010""><Name LocaleIsoCode=""en"">2010</Name></Member></Dimension><WBOSInformations><TimeDimension WebTreeWasUsed=""false""><StartCodes Annual=""1981"" /></TimeDimension></WBOSInformations><Tabulation Axis=""horizontal""><Dimension Code=""YEAR"" CommonCode=""TIME"" /></Tabulation><Tabulation Axis=""vertical""><Dimension Code=""SECTOR"" /><Dimension Code=""SCIENCE"" /></Tabulation><Tabulation Axis=""page""><Dimension Code=""COU"" CommonCode=""LOCATION"" /><Dimension Code=""GENDER"" /><Dimension Code=""UNITS_PERS"" /><Dimension Code=""CRITERIA"" /></Tabulation><Formatting><Labels LocaleIsoCode=""en"" /><Power>0</Power><Decimals>-1</Decimals><SkipEmptyLines>false</SkipEmptyLines><FullyFillPage>false</FullyFillPage><SkipEmptyCols>false</SkipEmptyCols><SkipLineHierarchy>false</SkipLineHierarchy><SkipColHierarchy>false</SkipColHierarchy><Page>1</Page></Formatting></DataTable><Format><ShowEmptyAxes>true</ShowEmptyAxes><Page>1</Page><EnableSort>true</EnableSort><IncludeFlagColumn>false</IncludeFlagColumn><DoBarChart>false</DoBarChart><MaxBarChartLen>65</MaxBarChartLen></Format><Query><AbsoluteUri>http://stats.oecd.org//View.aspx?QueryId=&amp;QueryType=Public&amp;Lang=en</AbsoluteUri></Query></WebTableParameter>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset: R-D personnel by sector of employment and field of science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,,,,,,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gender,,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units for Personnel,,,,,,Full-time equivalent on R&D activities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Occupation criteria,,,,,,Total Personnel R&D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,,,,,,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Sector of employment,,Field of Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total intramural,,All fields of science,,,,36221,35530,36169,39287,40654,45261,48486,54807,63155,69684,72406,73320,75734,80399,79988,87263,87150,97098,102237,120617.9,125749.9,..,..,..,174772.9,188977.6,201108.2,215676.4,220777.3,..
,,All fields of science,Natural sciences and engineering,,,27733,27326,27180,29799,30681,35829,41894,47413,50369,56329,58154,61129,61755,..,71050,..,77387,..,91117,..,111541,..,..,..,..,..,..,..,..,..
,,,Natural sciences and engineering,Natural Sciences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19746,..,22380,..,24634,..,28893,..,..,..,..,..,..,..,..,..
,,,,Engineering and technology,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,32552,..,33629,..,41663,..,54201,..,..,..,..,..,..,..,..,..
,,,,Medical and Health sciences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12367,..,13138,..,15091,..,17594,..,..,..,..,..,..,..,..,..
,,,,Agricultural Sciences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6385,..,8240,..,9730,..,10853,..,..,..,..,..,..,..,..,..
,,,Social sciences and humanities,,,3596,3183,3766,3987,4285,4382,6592,7394,7840,8605,9667,12191,13243,..,8938,..,9763,..,11121,..,14209,..,..,..,..,..,..,..,..,..
,,,Social sciences and humanities,Social Siences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5455,..,6038,..,7143,..,9411,..,..,..,..,..,..,..,..,..
,,,,Humanities,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3483,..,3725,..,3976,..,4800,..,..,..,..,..,..,..,..,..
,,,Not elsewhere classified (Fields of Science),,,4892,5021,5223,5501,5688,5050,..,..,4946,4750,4585,..,736,..,0,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..
Total intramural,Business enterprise,All fields of science,,,,12006,12914,12904,15022,16859,19007,20361,23678,25865,28508,29151,28590,27781,27321,27558,29431,30023,34667,38323,47055.4,46464.5,..,..,..,75344.7,82869.8,87542.6,95207.4,93698.8,..
,,All fields of science,Natural sciences and engineering,,,12006,12914,12904,15022,16817,18950,20336,23635,25831,28450,29081,28495,27710,..,27519,..,29895,..,38156,..,46189,..,..,..,..,..,..,..,..,..
,,,Natural sciences and engineering,Natural Sciences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,857,..,811,..,1375.7,..,1288,..,..,..,..,..,..,..,..,..
,,,,Engineering and technology,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22479,..,24338,..,31336.9,..,38507,..,..,..,..,..,..,..,..,..
,,,,Medical and Health sciences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2981,..,3412,..,3886.3,..,4614,..,..,..,..,..,..,..,..,..
,,,,Agricultural Sciences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1202,..,1334,..,1557.5,..,1780,..,..,..,..,..,..,..,..,..
,,,Social sciences and humanities,,,0,..,..,..,42,58,25,43,34,58,70,95,71,..,39,..,128,..,167,..,276,..,..,..,..,..,..,..,..,..
,,,Social sciences and humanities,Social Siences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,27,..,97,..,107.4,..,193,..,..,..,..,..,..,..,..,..
,,,,Humanities,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12,..,31,..,59.3,..,83,..,..,..,..,..,..,..,..,..
,,,Not elsewhere classified (Fields of Science),,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Government,All fields of science,,,,11805,10594,10212,10695,10031,11636,12643,13747,14606,17170,17519,16678,17266,17546,17153,17866,19189,20170,22283,22399.9,23467.5,23211.3,25759.6,27165.5,32076.7,34587.9,37918.5,41139,45353.3,..
,,All fields of science,Natural sciences and engineering,,,11067,10050,9476,10025,9252,10935,12040,13042,13868,16229,16595,15681,16258,16565,15978,16784,17947,18897,20895,20850.7,21813.1,21785.9,23631.9,24751.5,29225.29,31104.28,34313.2,37508.8,40948.3,..
,,,Natural sciences and engineering,Natural Sciences,,..,..,..,..,..,..,..,..,..,..,..,..,..,5103,4992,5803,6224,6250,6916,7081.5,7508.3,10364.1,4264,4047,4330.45,4686.521,6175.6,6570.6,7492,..
,,,,Engineering and technology,,..,..,..,..,..,..,..,..,..,..,..,..,..,5502,3421,2689,2741,3308,3246,3182.6,3179.9,2772.6,6337.7,4916.4,5817.34,8602.532,8311.9,8342.5,9199.9,..
,,,,Medical and Health sciences,,..,..,..,..,..,..,..,..,..,..,..,..,..,2696,4103,3934,4004,4165,4929,5463.8,5351,4829.1,8119,9182.4,11570.61,12521.283,13567.1,15618.1,15822.6,..
,,,,Agricultural Sciences,,..,..,..,..,..,..,..,..,..,..,..,..,..,3264,3462,4358,4978,5174,5804,5122.8,5773.9,3820.1,4911.2,6605.7,7506.89,5293.944,6258.6,6977.6,8433.7,..
,,,Social sciences and humanities,,,738,544,736,670,779,701,603,705,738,941,924,997,1008,982,1175,1082,1242,1273,1388,1549.2,1654.4,1425.4,2127.7,2414,2851.41,3483.62,3605.3,3630.2,4405,..
,,,Social sciences and humanities,Social Siences,,..,..,..,..,..,..,..,..,..,..,..,..,..,485,570,595,623,682,721,869.9,918.8,845.1,1287.4,1407.5,1671.15,2002.813,2476.4,2616.8,3024.2,..
,,,,Humanities,,..,..,..,..,..,..,..,..,..,..,..,..,..,497,605,487,619,591,667,679.3,735.6,580.3,840.3,1006.5,1180.26,1480.807,1128.9,1013.4,1380.8,..
,,,Not elsewhere classified (Fields of Science),,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Higher education,All fields of science,,,,..,..,..,..,..,..,..,..,22500,23654,25360,27553,29839,34642,34330,38955,36843,41040,40626,49470.1,54622.8,54232.8,60307.2,63331.1,66995.5,70949.5,75148.1,78846.2,81203,..
,,All fields of science,Natural sciences and engineering,,,7692,7490,8001,8137,8228,8789,9267,10342,10538,11374,12192,16573,17061,21438,26776,30202,28637,31899,31306,38591.7,42628.6,42012,37341.1,38323.5,40368.26,43543.56,45353.8,47545.8,49093.9,..
,,,Natural sciences and engineering,Natural Sciences,,..,..,..,..,..,..,..,..,..,..,..,7093,6863,7027,13715,15523,15202,16365,16153,19380.8,19888.7,20120.6,13721.5,12753.2,13713.73,15912.85,15790,15772.2,16332.4,..
,,,,Engineering and technology,,..,..,..,..,..,..,..,..,..,..,..,4129,4636,7165,6487,6861,6370,7051,6789,9863.1,12216.7,11438.5,12530.1,12985.8,13745.72,14750.844,16020.2,17233.5,18130.7,..
,,,,Medical and Health sciences,,..,..,..,..,..,..,..,..,..,..,..,4117,4225,5803,4859,5781,5165,6282,6020,6691.4,7244.8,7090,9518.3,10853.4,11437.86,11048.379,11590.7,12399.2,12566.1,..
,,,,Agricultural Sciences,,..,..,..,..,..,..,..,..,..,..,..,1234,1337,1443,1715,2037,1900,2201,2344,2656.4,3278.4,3362.9,1571.2,1731.1,1470.95,1831.487,1952.9,2140.9,2064.7,..
,,,Social sciences and humanities,,,4718,4532,5052,5433,5535,5516,5833,6570,7016,7530,8583,10980,12042,13204,7554,8753,8206,9142,9320,10878.4,11994.2,12220.8,22966.1,25007.6,26627.24,27405.94,29794.3,31300.4,32109.1,..
,,,Social sciences and humanities,Social Siences,,..,..,..,..,..,..,..,..,..,..,..,..,..,8475,4718,5361,5157,5706,6105,7151.3,8089.1,8196.6,13559.5,14326.3,15333.48,16502.139,18036.3,19298.2,19545.9,..
,,,,Humanities,,..,..,..,..,..,..,..,..,..,..,..,..,..,4729,2836,3392,3049,3436,3214,3727.1,3905.1,4024.2,9406.6,10681.3,11293.76,10903.801,11758,12002.2,12563.1,..
,,,Not elsewhere classified (Fields of Science),,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Private non-profit,All fields of science,,,,..,..,..,..,..,313,382,470,184,352,376,499,848,890,947,1011,1095,1221,1005,1692.5,1195.1,477.1,388.5,312.9,356,570.4,499,483.8,522.2,..
,,All fields of science,Natural sciences and engineering,,,..,..,..,..,..,258,284,394,132,276,286,380,726,..,777,..,908,..,760,1018.6,909.7,369.3,292.3,260.3,288.67,480.234,420.5,377.2,403.2,..
,,,Natural sciences and engineering,Natural Sciences,,..,..,..,..,..,12,..,8,..,..,48,83,22,..,182,..,143,..,189,186.1,208,130.8,17.5,14,13.84,45.735,23.5,37.6,60.7,..
,,,,Engineering and technology,,..,..,..,..,..,207,..,163,..,..,117,139,392,..,165,..,180,..,291,333.1,297,78.8,47.3,22.7,40.28,151.88,78.6,76.8,67.6,..
,,,,Medical and Health sciences,,..,..,..,..,..,30,..,193,..,..,98,134,289,..,424,..,557,..,256,481.6,383.6,159.7,217.5,209.6,219.46,268.536,264.6,226.2,257.4,..
,,,,Agricultural Sciences,,..,..,..,..,..,9,..,30,..,..,23,24,23,..,6,..,28,..,24,17.8,21.1,..,10,14,15.1,14.084,53.8,36.6,17.6,..
,,,Social sciences and humanities,,,..,..,..,..,..,55,98,76,52,76,90,119,122,..,170,..,187,..,246,673.9,285.4,107.8,96.2,52.6,67.33,90.166,78.5,106.6,119,..
,,,Social sciences and humanities,Social Siences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,140,..,161,..,210,578.6,209.6,49.9,82.9,43,62.63,78.831,61.5,84.1,90.4,..
,,,,Humanities,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30,..,26,..,36,95.3,75.8,57.9,13.3,9.6,4.7,11.335,16.9,22.5,28.6,..
,,,Not elsewhere classified (Fields of Science),,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
data extracted on 17 Oct 2012 22:11 UTC (GMT) from OECD.Stat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legend:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a:,Break in series with previous year for which data is available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c:,National estimate or projection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m:,Underestimated or based on underestimated data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n:,Included elsewhere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o:,Includes other classes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:,Unrevised breakdown not adding to the revised total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
