#NAME?,"<?xml version=""1.0""?><WebTableParameter xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xmlns:xsd=""http://www.w3.org/2001/XMLSchema"" xmlns=""""><DataTable Code=""PERS_SCIENCE"" HasMetadata=""true""><Name LocaleIsoCode=""en"">R-D personnel by sector of employment and field of science</Name><Dimension Code=""SCIENCE""><Name LocaleIsoCode=""en"">Field of Sciences</Name><Member Code=""TOTAL_S""><Name LocaleIsoCode=""en"">All fields of science</Name><ChildMember Code=""NSE""><Name LocaleIsoCode=""en"">Natural sciences and engineering</Name><ChildMember Code=""NAT""><Name LocaleIsoCode=""en"">Natural Sciences</Name></ChildMember><ChildMember Code=""ENG""><Name LocaleIsoCode=""en"">Engineering and technology</Name></ChildMember><ChildMember Code=""MED""><Name LocaleIsoCode=""en"">Medical and Health sciences</Name></ChildMember><ChildMember Code=""AGR""><Name LocaleIsoCode=""en"">Agricultural Sciences</Name></ChildMember></ChildMember><ChildMember Code=""SSH""><Name LocaleIsoCode=""en"">Social sciences and humanities</Name><ChildMember Code=""SOC""><Name LocaleIsoCode=""en"">Social Siences</Name></ChildMember><ChildMember Code=""HUM""><Name LocaleIsoCode=""en"">Humanities</Name></ChildMember></ChildMember><ChildMember Code=""NEC""><Name LocaleIsoCode=""en"">Not elsewhere classified (Fields of Science)</Name></ChildMember></Member></Dimension><Dimension Code=""SECTOR""><Name LocaleIsoCode=""en"">Sector of employment</Name><Member Code=""TIM""><Name LocaleIsoCode=""en"">Total intramural</Name><ChildMember Code=""BE""><Name LocaleIsoCode=""en"">Business enterprise</Name></ChildMember><ChildMember Code=""GV""><Name LocaleIsoCode=""en"">Government</Name></ChildMember><ChildMember Code=""HE""><Name LocaleIsoCode=""en"">Higher education</Name></ChildMember><ChildMember Code=""PNP""><Name LocaleIsoCode=""en"">Private non-profit</Name></ChildMember></Member></Dimension><Dimension Code=""UNITS_PERS""><Name LocaleIsoCode=""en"">Units for Personnel</Name><Member Code=""FTE""><Name LocaleIsoCode=""en"">Full-time equivalent on R&amp;D activities</Name></Member><Member Code=""HC""><Name LocaleIsoCode=""en"">Headcount</Name></Member></Dimension><Dimension Code=""GENDER""><Name LocaleIsoCode=""en"">Gender</Name><Member Code=""TOT""><Name LocaleIsoCode=""en"">Total</Name><ChildMember Code=""WOM""><Name LocaleIsoCode=""en"">Women</Name></ChildMember></Member></Dimension><Dimension Code=""CRITERIA""><Name LocaleIsoCode=""en"">Occupation criteria</Name><Member Code=""TOTAL""><Name LocaleIsoCode=""en"">Total Personnel R&amp;D</Name></Member><Member Code=""RSE""><Name LocaleIsoCode=""en"">Researchers</Name></Member></Dimension><Dimension Code=""COU"" CommonCode=""LOCATION"" Display=""labels""><Name LocaleIsoCode=""en"">Country</Name><Member Code=""AUS"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Australia</Name></Member><Member Code=""AUT"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Austria</Name></Member><Member Code=""BEL"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Belgium</Name></Member><Member Code=""CAN"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Canada</Name></Member><Member Code=""CHL""><Name LocaleIsoCode=""en"">Chile</Name></Member><Member Code=""CZE"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Czech Republic</Name></Member><Member Code=""DNK"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Denmark</Name></Member><Member Code=""EST""><Name LocaleIsoCode=""en"">Estonia</Name></Member><Member Code=""FIN"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Finland</Name></Member><Member Code=""FRA"" HasMetadata=""true""><Name LocaleIsoCode=""en"">France</Name></Member><Member Code=""DEU"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Germany</Name></Member><Member Code=""GRC"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Greece</Name></Member><Member Code=""HUN"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Hungary</Name></Member><Member Code=""ISL""><Name LocaleIsoCode=""en"">Iceland</Name></Member><Member Code=""IRL"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Ireland</Name></Member><Member Code=""ISR"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Israel</Name></Member><Member Code=""ITA"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Italy</Name></Member><Member Code=""JPN"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Japan</Name></Member><Member Code=""KOR"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Korea</Name></Member><Member Code=""LUX"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Luxembourg</Name></Member><Member Code=""MEX"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Mexico</Name></Member><Member Code=""NLD"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Netherlands</Name></Member><Member Code=""NZL"" HasMetadata=""true""><Name LocaleIsoCode=""en"">New Zealand</Name></Member><Member Code=""NOR"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Norway</Name></Member><Member Code=""POL"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Poland</Name></Member><Member Code=""PRT"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Portugal</Name></Member><Member Code=""SVK"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Slovak Republic</Name></Member><Member Code=""SVN"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Slovenia</Name></Member><Member Code=""ESP"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Spain</Name></Member><Member Code=""SWE"" HasMetadata=""true"" IsDisplayed=""true""><Name LocaleIsoCode=""en"">Sweden</Name></Member><Member Code=""CHE"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Switzerland</Name></Member><Member Code=""TUR"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Turkey</Name></Member><Member Code=""GBR"" HasMetadata=""true""><Name LocaleIsoCode=""en"">United Kingdom</Name></Member><Member Code=""USA"" HasMetadata=""true""><Name LocaleIsoCode=""en"">United States</Name></Member><Member Code=""NMEC""><Name LocaleIsoCode=""en"">Non-OECD Member Economies</Name><ChildMember Code=""ARG"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Argentina</Name></ChildMember><ChildMember Code=""CHN"" HasMetadata=""true""><Name LocaleIsoCode=""en"">China</Name></ChildMember><ChildMember Code=""ROU"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Romania</Name></ChildMember><ChildMember Code=""RUS"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Russian Federation</Name></ChildMember><ChildMember Code=""SGP"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Singapore</Name></ChildMember><ChildMember Code=""ZAF"" HasMetadata=""true""><Name LocaleIsoCode=""en"">South Africa</Name></ChildMember><ChildMember Code=""TWN"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Chinese Taipei</Name></ChildMember></Member></Dimension><Dimension Code=""YEAR"" CommonCode=""TIME""><Name LocaleIsoCode=""en"">Year</Name><Member Code=""1981""><Name LocaleIsoCode=""en"">1981</Name></Member><Member Code=""1982""><Name LocaleIsoCode=""en"">1982</Name></Member><Member Code=""1983""><Name LocaleIsoCode=""en"">1983</Name></Member><Member Code=""1984""><Name LocaleIsoCode=""en"">1984</Name></Member><Member Code=""1985""><Name LocaleIsoCode=""en"">1985</Name></Member><Member Code=""1986""><Name LocaleIsoCode=""en"">1986</Name></Member><Member Code=""1987""><Name LocaleIsoCode=""en"">1987</Name></Member><Member Code=""1988""><Name LocaleIsoCode=""en"">1988</Name></Member><Member Code=""1989""><Name LocaleIsoCode=""en"">1989</Name></Member><Member Code=""1990""><Name LocaleIsoCode=""en"">1990</Name></Member><Member Code=""1991""><Name LocaleIsoCode=""en"">1991</Name></Member><Member Code=""1992""><Name LocaleIsoCode=""en"">1992</Name></Member><Member Code=""1993""><Name LocaleIsoCode=""en"">1993</Name></Member><Member Code=""1994""><Name LocaleIsoCode=""en"">1994</Name></Member><Member Code=""1995""><Name LocaleIsoCode=""en"">1995</Name></Member><Member Code=""1996""><Name LocaleIsoCode=""en"">1996</Name></Member><Member Code=""1997""><Name LocaleIsoCode=""en"">1997</Name></Member><Member Code=""1998""><Name LocaleIsoCode=""en"">1998</Name></Member><Member Code=""1999""><Name LocaleIsoCode=""en"">1999</Name></Member><Member Code=""2000""><Name LocaleIsoCode=""en"">2000</Name></Member><Member Code=""2001""><Name LocaleIsoCode=""en"">2001</Name></Member><Member Code=""2002""><Name LocaleIsoCode=""en"">2002</Name></Member><Member Code=""2003""><Name LocaleIsoCode=""en"">2003</Name></Member><Member Code=""2004""><Name LocaleIsoCode=""en"">2004</Name></Member><Member Code=""2005""><Name LocaleIsoCode=""en"">2005</Name></Member><Member Code=""2006""><Name LocaleIsoCode=""en"">2006</Name></Member><Member Code=""2007""><Name LocaleIsoCode=""en"">2007</Name></Member><Member Code=""2008""><Name LocaleIsoCode=""en"">2008</Name></Member><Member Code=""2009""><Name LocaleIsoCode=""en"">2009</Name></Member><Member Code=""2010""><Name LocaleIsoCode=""en"">2010</Name></Member></Dimension><WBOSInformations><TimeDimension WebTreeWasUsed=""false""><StartCodes Annual=""1981"" /></TimeDimension></WBOSInformations><Tabulation Axis=""horizontal""><Dimension Code=""YEAR"" CommonCode=""TIME"" /></Tabulation><Tabulation Axis=""vertical""><Dimension Code=""SECTOR"" /><Dimension Code=""SCIENCE"" /></Tabulation><Tabulation Axis=""page""><Dimension Code=""COU"" CommonCode=""LOCATION"" /><Dimension Code=""GENDER"" /><Dimension Code=""UNITS_PERS"" /><Dimension Code=""CRITERIA"" /></Tabulation><Formatting><Labels LocaleIsoCode=""en"" /><Power>0</Power><Decimals>-1</Decimals><SkipEmptyLines>false</SkipEmptyLines><FullyFillPage>false</FullyFillPage><SkipEmptyCols>false</SkipEmptyCols><SkipLineHierarchy>false</SkipLineHierarchy><SkipColHierarchy>false</SkipColHierarchy><Page>1</Page></Formatting></DataTable><Format><ShowEmptyAxes>true</ShowEmptyAxes><Page>1</Page><EnableSort>true</EnableSort><IncludeFlagColumn>false</IncludeFlagColumn><DoBarChart>false</DoBarChart><MaxBarChartLen>65</MaxBarChartLen></Format><Query><AbsoluteUri>http://stats.oecd.org//View.aspx?QueryId=&amp;QueryType=Public&amp;Lang=en</AbsoluteUri></Query></WebTableParameter>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset: R-D personnel by sector of employment and field of science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,,,,,,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gender,,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units for Personnel,,,,,,Full-time equivalent on R&D activities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Occupation criteria,,,,,,Total Personnel R&D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,,,,,,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Sector of employment,,Field of Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total intramural,,All fields of science,,,,42214,..,45759,..,49599,..,51811,..,55129,..,53604,..,56627,..,62635,..,65495.463,..,66673.679,..,72189.688,..,72978,..,77704,..,74437,..,75849,..
,,All fields of science,Natural sciences and engineering,,,40814,..,44259,..,47499,..,49911,..,52129,..,50727,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,Natural sciences and engineering,Natural Sciences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,,Engineering and technology,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,,Medical and Health sciences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,,Agricultural Sciences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,Social sciences and humanities,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,Social sciences and humanities,Social Siences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,,Humanities,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,Not elsewhere classified (Fields of Science),,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Total intramural,Business enterprise,All fields of science,,,,27348,..,30038,..,33055,..,35255,..,35106,..,33757,..,35330,..,41636,..,43881.463,..,44170.679,..,49432.688,..,48113,..,56106,..,53558,..,54285,..
,,All fields of science,Natural sciences and engineering,,,27348,..,30038,..,33055,..,35255,..,35106,..,33757,..,35330,..,41636,..,43881.463,..,44170.679,..,..,..,..,..,..,..,..,..,..,..
,,,Natural sciences and engineering,Natural Sciences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,,Engineering and technology,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,,Medical and Health sciences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,,Agricultural Sciences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,Social sciences and humanities,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,Social sciences and humanities,Social Siences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,,Humanities,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,Not elsewhere classified (Fields of Science),,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Government,All fields of science,,,,3271,..,3313,..,2823,..,2740,..,2637,..,2965,..,3289,..,3518,..,3334,..,3195,..,2817,..,3000,..,3591,..,3253,..,2605,..
,,All fields of science,Natural sciences and engineering,,,3271,..,3313,..,2823,..,2740,..,2637,..,2965,..,2647,..,3018,..,..,..,..,..,..,..,1740,..,..,..,..,..,..,..
,,,Natural sciences and engineering,Natural Sciences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,360,..,..,..,..,..,..,..
,,,,Engineering and technology,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1140,..,..,..,..,..,..,..
,,,,Medical and Health sciences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,210,..,..,..,..,..,..,..
,,,,Agricultural Sciences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30,..,..,..,..,..,..,..
,,,Social sciences and humanities,,,..,..,..,..,..,..,..,..,..,..,..,..,642,..,500,..,..,..,..,..,..,..,1110,..,..,..,..,..,..,..
,,,Social sciences and humanities,Social Siences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,900,..,..,..,..,..,..,..
,,,,Humanities,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,210,..,..,..,..,..,..,..
,,,Not elsewhere classified (Fields of Science),,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,150,..,..,..,..,..,..,..
,Higher education,All fields of science,,,,11500,..,12300,..,13600,..,13700,..,17283,..,16810,..,17438,..,17301,..,18197,..,19175,..,19837,..,21495,..,17686,..,17525,..,18857,..
,,All fields of science,Natural sciences and engineering,,,10100,..,10800,..,11500,..,11800,..,14283,..,13933,..,13047,..,12583,..,12633,..,13186,..,13772,..,14671,..,11279,..,11072,..,11868,..
,,,Natural sciences and engineering,Natural Sciences,,1900,..,1900,..,2400,..,2400,..,..,..,2967,..,3063,..,2778.86,..,2857,..,2906,..,3193,..,3371,..,2610,..,2546,..,2610,..
,,,,Engineering and technology,,2100,..,2100,..,2000,..,2200,..,..,..,3038,..,3437,..,3584.58,..,3786,..,4222,..,4243,..,4631,..,3583,..,3459,..,3650,..
,,,,Medical and Health sciences,,4800,..,5300,..,5500,..,5600,..,..,..,6080,..,4670,..,4475.21,..,4331,..,4570,..,4933,..,5117,..,4225,..,4135,..,4533,..
,,,,Agricultural Sciences,,1300,..,1500,..,1600,..,1600,..,..,..,1848,..,1857,..,1744.7,..,1659,..,1487,..,1403,..,1552,..,861,..,932,..,1075,..
,,,Social sciences and humanities,,,1400,..,1500,..,2100,..,1900,..,3000,..,2877,..,3830,..,4224,..,4783,..,4657,..,4016,..,4578,..,4169,..,3920,..,4170,..
,,,Social sciences and humanities,Social Siences,,900,..,1000,..,1400,..,1200,..,..,..,1852,..,2430,..,2826.12,..,3189,..,3011,..,2651,..,2734,..,..,..,..,..,..,..
,,,,Humanities,,500,..,500,..,700,..,700,..,..,..,1025,..,1375,..,1397.79,..,1594,..,1646,..,1365,..,1844,..,..,..,..,..,..,..
,,,Not elsewhere classified (Fields of Science),,,..,..,..,..,..,..,..,..,..,..,..,..,572,..,493.31,..,781,..,1332,..,2049,..,2246,..,2237,..,2533,..,2818,..
,Private non-profit,All fields of science,,,,95,..,108,..,121,..,116,..,103,..,72,..,570,..,180,..,83,..,133,..,103,..,370,..,321,..,101,..,102,..
,,All fields of science,Natural sciences and engineering,,,95,..,108,..,121,..,116,..,103,..,72,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,Natural sciences and engineering,Natural Sciences,,74,..,89,..,89,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,,Engineering and technology,,21,..,19,..,16,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,,Medical and Health sciences,,0,..,0,..,16,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,,Agricultural Sciences,,0,..,0,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,Social sciences and humanities,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,Social sciences and humanities,Social Siences,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,,Humanities,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,Not elsewhere classified (Fields of Science),,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
data extracted on 17 Oct 2012 22:11 UTC (GMT) from OECD.Stat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legend:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a:,Break in series with previous year for which data is available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g:,Excluding R&D in the social sciences and humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m:,Underestimated or based on underestimated data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n:,Included elsewhere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o:,Includes other classes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:,Unrevised breakdown not adding to the revised total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v:,The sum of the breakdown does not add to the total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
